account_id,relationship_id,product,sub_type,balance,tenor_yrs,remaining_yrs,rate_type,spread,orig_fee_pct,rating,collateral,commitment
TL00022,R420,Term Loan,CRE Term,529000.0,7.0,5.49,Fixed,0.0292,0.0075,7,Real Estate,529000.0
TL00023,R003,Term Loan,C&I Term,15084000.0,7.0,6.79,Floating,0.021,0.0025,6,Senior Secured,15084000.0
TL00024,R178,Term Loan,C&I Term,3990000.0,7.0,4.71,Floating,0.0181,0.005,3,Senior Secured,3990000.0
TL00025,R002,Term Loan,CRE Term,14468000.0,5.0,3.36,Floating,0.0094,0.01,3,Real Estate,14468000.0
TL00026,R260,Term Loan,C&I Term,2602000.0,3.0,1.48,Fixed,0.025,0.0075,6,Senior Secured,2602000.0
TL00027,R121,Term Loan,Equipment Finance,3976000.0,5.0,3.26,Floating,0.0188,0.0075,5,Senior Secured,3976000.0
TL00028,R208,Term Loan,CRE Term,1210000.0,3.0,1.37,Fixed,0.0288,0.01,7,Real Estate,1210000.0
TL00029,R281,Term Loan,CRE Term,5436000.0,7.0,1.41,Floating,0.0147,0.01,4,Real Estate,5436000.0
TL00030,R271,Term Loan,C&I Term,699000.0,3.0,2.68,Floating,0.0287,0.01,7,Senior Secured,699000.0
TL00031,R452,Term Loan,CRE Term,2382000.0,5.0,2.72,Fixed,0.0157,0.0075,4,Real Estate,2382000.0
TL00032,R401,Term Loan,Equipment Finance,1253000.0,5.0,2.97,Floating,0.0128,0.005,2,Senior Secured,1253000.0
TL00033,R358,Term Loan,C&I Term,1012000.0,5.0,1.33,Floating,0.0216,0.0025,4,Senior Secured,1012000.0
TL00034,R275,Term Loan,C&I Term,6541000.0,5.0,4.35,Floating,0.0172,0.005,3,Senior Secured,6541000.0
TL00035,R236,Term Loan,C&I Term,1035000.0,5.0,1.68,Floating,0.0181,0.0075,5,Unsecured,1035000.0
TL00036,R086,Term Loan,C&I Term,469000.0,10.0,5.28,Floating,0.0317,0.005,9,Senior Secured,469000.0
TL00037,R008,Term Loan,CRE Term,945000.0,7.0,6.11,Floating,0.0171,0.0075,6,Real Estate,945000.0
TL00038,R132,Term Loan,C&I Term,3639000.0,7.0,3.96,Floating,0.0236,0.0025,7,Senior Secured,3639000.0
TL00039,R498,Term Loan,CRE Term,3518000.0,5.0,4.72,Floating,0.0169,0.0025,3,Real Estate,3518000.0
TL00040,R041,Term Loan,C&I Term,17853000.0,5.0,1.84,Floating,0.0236,0.005,5,Unsecured,17853000.0
TL00041,R307,Term Loan,C&I Term,1296000.0,5.0,3.86,Floating,0.0261,0.0025,6,Unsecured,1296000.0
TL00042,R103,Term Loan,C&I Term,1402000.0,5.0,4.91,Floating,0.0237,0.01,5,Senior Secured,1402000.0
TL00043,R262,Term Loan,Equipment Finance,940000.0,5.0,3.2,Fixed,0.0222,0.005,5,Senior Secured,940000.0
TL00044,R390,Term Loan,CRE Term,1327000.0,5.0,3.77,Floating,0.0355,0.005,10,Real Estate,1327000.0
TL00045,R004,Term Loan,C&I Term,4895000.0,3.0,1.54,Floating,0.0147,0.005,4,Unsecured,4895000.0
TL00046,R025,Term Loan,CRE Term,4916000.0,3.0,2.4,Floating,0.0267,0.005,7,Real Estate,4916000.0
TL00047,R270,Term Loan,C&I Term,7887000.0,7.0,6.49,Fixed,0.0161,0.01,4,Senior Secured,7887000.0
TL00048,R121,Term Loan,C&I Term,1928000.0,3.0,2.29,Fixed,0.0201,0.0075,5,Senior Secured,1928000.0
TL00049,R066,Term Loan,C&I Term,3910000.0,5.0,4.74,Fixed,0.0252,0.0025,6,Senior Secured,3910000.0
TL00050,R094,Term Loan,Equipment Finance,467000.0,5.0,3.35,Fixed,0.0247,0.0025,6,Senior Secured,467000.0
TL00051,R005,Term Loan,CRE Term,37753000.0,3.0,1.99,Floating,0.0285,0.0025,6,Real Estate,37753000.0
TL00052,R264,Term Loan,CRE Term,1398000.0,7.0,3.11,Fixed,0.0188,0.005,5,Real Estate,1398000.0
TL00053,R105,Term Loan,C&I Term,3130000.0,3.0,2.3,Floating,0.0303,0.0075,8,Unsecured,3130000.0
TL00054,R127,Term Loan,C&I Term,5796000.0,7.0,6.34,Fixed,0.013,0.01,3,Senior Secured,5796000.0
TL00055,R001,Term Loan,CRE Term,6858000.0,7.0,5.02,Fixed,0.0185,0.005,5,Real Estate,6858000.0
TL00056,R313,Term Loan,C&I Term,1479000.0,3.0,1.16,Fixed,0.0129,0.0025,2,Senior Secured,1479000.0
TL00057,R045,Term Loan,Equipment Finance,415000.0,3.0,1.91,Floating,0.0299,0.0025,7,Senior Secured,415000.0
TL00058,R311,Term Loan,CRE Term,3137000.0,5.0,4.02,Fixed,0.0183,0.005,4,Real Estate,3137000.0
TL00059,R398,Term Loan,C&I Term,1209000.0,5.0,4.76,Floating,0.0133,0.005,2,Unsecured,1209000.0
TL00060,R140,Term Loan,CRE Term,9967000.0,3.0,0.98,Floating,0.0183,0.0075,4,Real Estate,9967000.0
TL00061,R242,Term Loan,Equipment Finance,1119000.0,10.0,3.02,Floating,0.0187,0.0025,5,Senior Secured,1119000.0
TL00062,R247,Term Loan,C&I Term,3537000.0,3.0,1.59,Floating,0.0206,0.0025,5,Senior Secured,3537000.0
TL00063,R481,Term Loan,CRE Term,1495000.0,7.0,2.1,Floating,0.0184,0.0075,4,Real Estate,1495000.0
TL00064,R377,Term Loan,Equipment Finance,2414000.0,3.0,2.95,Floating,0.0224,0.005,5,Senior Secured,2414000.0
TL00065,R234,Term Loan,C&I Term,652000.0,10.0,5.39,Floating,0.018,0.005,3,Unsecured,652000.0
TL00066,R280,Term Loan,Equipment Finance,891000.0,3.0,1.88,Floating,0.0188,0.0025,4,Senior Secured,891000.0
TL00067,R008,Term Loan,C&I Term,10966000.0,5.0,1.91,Floating,0.024,0.0025,7,Senior Secured,10966000.0
TL00068,R071,Term Loan,CRE Term,1449000.0,5.0,2.8,Floating,0.0179,0.005,5,Real Estate,1449000.0
TL00069,R152,Term Loan,CRE Term,336000.0,3.0,2.96,Fixed,0.0291,0.005,7,Real Estate,336000.0
TL00070,R006,Term Loan,CRE Term,9109000.0,7.0,4.14,Floating,0.0189,0.01,5,Real Estate,9109000.0
TL00071,R047,Term Loan,C&I Term,2484000.0,5.0,1.04,Fixed,0.0213,0.01,4,Unsecured,2484000.0
TL00072,R367,Term Loan,CRE Term,971000.0,5.0,1.97,Floating,0.0255,0.005,5,Real Estate,971000.0
TL00073,R253,Term Loan,C&I Term,1098000.0,5.0,4.91,Floating,0.0189,0.005,4,Unsecured,1098000.0
TL00074,R035,Term Loan,C&I Term,1497000.0,5.0,4.96,Floating,0.0112,0.005,2,Senior Secured,1497000.0
TL00075,R399,Term Loan,C&I Term,3566000.0,3.0,1.11,Floating,0.025,0.0075,6,Unsecured,3566000.0
TL00076,R432,Term Loan,CRE Term,1730000.0,3.0,2.08,Floating,0.0287,0.005,7,Real Estate,1730000.0
TL00077,R170,Term Loan,C&I Term,1277000.0,3.0,0.78,Floating,0.0326,0.01,9,Unsecured,1277000.0
TL00078,R226,Term Loan,C&I Term,2912000.0,5.0,3.31,Floating,0.0208,0.01,5,Senior Secured,2912000.0
TL00079,R238,Term Loan,Equipment Finance,1701000.0,3.0,0.9,Floating,0.018,0.005,3,Senior Secured,1701000.0
TL00080,R289,Term Loan,C&I Term,974000.0,10.0,8.55,Floating,0.029,0.0025,7,Senior Secured,974000.0
TL00081,R431,Term Loan,C&I Term,1306000.0,5.0,4.76,Floating,0.0241,0.0025,6,Unsecured,1306000.0
TL00082,R189,Term Loan,C&I Term,2792000.0,5.0,1.69,Fixed,0.0097,0.01,2,Senior Secured,2792000.0
TL00083,R440,Term Loan,C&I Term,3663000.0,5.0,2.85,Floating,0.0289,0.005,7,Senior Secured,3663000.0
TL00084,R397,Term Loan,CRE Term,1998000.0,5.0,1.41,Floating,0.0287,0.005,8,Real Estate,1998000.0
TL00085,R378,Term Loan,C&I Term,1415000.0,5.0,2.36,Floating,0.0283,0.0075,7,Senior Secured,1415000.0
TL00086,R493,Term Loan,C&I Term,502000.0,5.0,1.26,Floating,0.0198,0.01,4,Senior Secured,502000.0
TL00087,R126,Term Loan,Equipment Finance,1725000.0,5.0,2.06,Floating,0.0287,0.005,9,Senior Secured,1725000.0
TL00088,R039,Term Loan,Equipment Finance,1227000.0,5.0,4.96,Floating,0.028,0.005,7,Senior Secured,1227000.0
TL00089,R444,Term Loan,CRE Term,560000.0,5.0,1.18,Floating,0.0179,0.01,3,Real Estate,560000.0
TL00090,R185,Term Loan,Equipment Finance,11683000.0,10.0,8.87,Floating,0.0322,0.0025,8,Senior Secured,11683000.0
TL00091,R470,Term Loan,Equipment Finance,731000.0,3.0,0.79,Floating,0.0197,0.01,4,Senior Secured,731000.0
TL00092,R407,Term Loan,C&I Term,1909000.0,5.0,3.12,Floating,0.0229,0.0075,7,Senior Secured,1909000.0
TL00093,R275,Term Loan,CRE Term,2020000.0,3.0,1.69,Floating,0.0198,0.0025,3,Real Estate,2020000.0
TL00094,R269,Term Loan,CRE Term,7242000.0,5.0,4.73,Fixed,0.0232,0.0025,5,Real Estate,7242000.0
TL00095,R107,Term Loan,C&I Term,579000.0,7.0,2.51,Floating,0.0276,0.0075,8,Senior Secured,579000.0
TL00096,R433,Term Loan,C&I Term,4070000.0,3.0,1.03,Floating,0.0314,0.01,9,Senior Secured,4070000.0
TL00097,R243,Term Loan,C&I Term,4115000.0,5.0,3.99,Floating,0.0256,0.0025,6,Senior Secured,4115000.0
TL00098,R126,Term Loan,CRE Term,25394000.0,5.0,3.9,Fixed,0.0295,0.0075,7,Real Estate,25394000.0
TL00099,R068,Term Loan,CRE Term,2177000.0,3.0,2.28,Fixed,0.0182,0.01,4,Real Estate,2177000.0
TL00100,R194,Term Loan,CRE Term,818000.0,10.0,2.21,Fixed,0.0215,0.0075,4,Real Estate,818000.0
TL00101,R418,Term Loan,C&I Term,2274000.0,5.0,2.04,Floating,0.0233,0.0075,7,Unsecured,2274000.0
TL00102,R007,Term Loan,C&I Term,60610000.0,7.0,6.1,Floating,0.0222,0.0025,7,Senior Secured,60610000.0
TL00103,R005,Term Loan,CRE Term,2975000.0,5.0,3.4,Fixed,0.012,0.0075,4,Real Estate,2975000.0
TL00104,R022,Term Loan,CRE Term,670000.0,10.0,6.82,Floating,0.0256,0.0075,7,Real Estate,670000.0
TL00105,R360,Term Loan,Equipment Finance,1088000.0,5.0,2.18,Fixed,0.0148,0.0025,1,Senior Secured,1088000.0
TL00106,R188,Term Loan,Equipment Finance,942000.0,5.0,2.04,Floating,0.0189,0.005,2,Senior Secured,942000.0
TL00107,R002,Term Loan,Equipment Finance,8396000.0,7.0,6.7,Floating,0.0153,0.01,3,Senior Secured,8396000.0
TL00108,R198,Term Loan,Equipment Finance,463000.0,5.0,3.91,Floating,0.0206,0.01,5,Senior Secured,463000.0
TL00109,R396,Term Loan,Equipment Finance,4042000.0,5.0,1.51,Floating,0.0328,0.0025,9,Senior Secured,4042000.0
TL00110,R456,Term Loan,C&I Term,421000.0,10.0,9.5,Fixed,0.0206,0.0075,4,Senior Secured,421000.0
TL00111,R112,Term Loan,C&I Term,1120000.0,5.0,3.33,Floating,0.0267,0.0075,8,Senior Secured,1120000.0
TL00112,R009,Term Loan,C&I Term,25295000.0,7.0,3.27,Floating,0.0163,0.0075,4,Senior Secured,25295000.0
TL00113,R497,Term Loan,C&I Term,3850000.0,5.0,2.59,Floating,0.0174,0.0075,2,Senior Secured,3850000.0
TL00114,R303,Term Loan,C&I Term,601000.0,7.0,5.46,Fixed,0.0168,0.01,4,Senior Secured,601000.0
TL00115,R211,Term Loan,C&I Term,1341000.0,7.0,3.51,Floating,0.0231,0.005,6,Unsecured,1341000.0
TL00116,R022,Term Loan,Equipment Finance,1094000.0,5.0,3.31,Fixed,0.0278,0.0075,7,Senior Secured,1094000.0
TL00117,R333,Term Loan,C&I Term,2153000.0,5.0,3.84,Fixed,0.0201,0.0075,4,Senior Secured,2153000.0
TL00118,R087,Term Loan,Equipment Finance,4648000.0,3.0,1.07,Floating,0.0206,0.0075,5,Senior Secured,4648000.0
TL00119,R450,Term Loan,CRE Term,428000.0,5.0,4.78,Fixed,0.0224,0.01,5,Real Estate,428000.0
TL00120,R443,Term Loan,CRE Term,2520000.0,7.0,3.39,Fixed,0.0237,0.0025,5,Real Estate,2520000.0
TL00121,R005,Term Loan,CRE Term,12018000.0,5.0,2.68,Floating,0.0255,0.01,6,Real Estate,12018000.0
TL00122,R294,Term Loan,C&I Term,4591000.0,3.0,2.28,Floating,0.0247,0.0075,6,Unsecured,4591000.0
TL00123,R073,Term Loan,CRE Term,12493000.0,5.0,3.44,Floating,0.0221,0.01,5,Real Estate,12493000.0
TL00124,R054,Term Loan,C&I Term,926000.0,5.0,2.76,Floating,0.0288,0.005,6,Unsecured,926000.0
TL00125,R043,Term Loan,Equipment Finance,2207000.0,7.0,5.04,Floating,0.0208,0.005,5,Senior Secured,2207000.0
TL00126,R258,Term Loan,C&I Term,848000.0,3.0,2.77,Fixed,0.0189,0.0025,5,Senior Secured,848000.0
TL00127,R208,Term Loan,C&I Term,1127000.0,5.0,4.2,Floating,0.0256,0.01,6,Unsecured,1127000.0
TL00128,R498,Term Loan,CRE Term,1222000.0,7.0,6.02,Floating,0.0193,0.01,3,Real Estate,1222000.0
TL00129,R005,Term Loan,CRE Term,5637000.0,10.0,4.07,Floating,0.0215,0.005,6,Real Estate,5637000.0
TL00130,R206,Term Loan,C&I Term,782000.0,3.0,1.61,Floating,0.0276,0.0025,7,Unsecured,782000.0
TL00131,R079,Term Loan,CRE Term,839000.0,10.0,6.43,Floating,0.0186,0.0075,5,Real Estate,839000.0
TL00132,R249,Term Loan,C&I Term,1753000.0,5.0,1.18,Floating,0.0193,0.0075,4,Senior Secured,1753000.0
TL00133,R433,Term Loan,CRE Term,4399000.0,7.0,5.71,Floating,0.0365,0.0075,9,Real Estate,4399000.0
TL00134,R275,Term Loan,C&I Term,10298000.0,3.0,1.38,Floating,0.0135,0.0025,3,Senior Secured,10298000.0
TL00135,R008,Term Loan,C&I Term,52369000.0,5.0,2.13,Floating,0.0201,0.01,5,Senior Secured,52369000.0
TL00136,R089,Term Loan,C&I Term,2414000.0,5.0,2.04,Fixed,0.0212,0.005,5,Unsecured,2414000.0
TL00137,R006,Term Loan,C&I Term,33114000.0,5.0,2.13,Floating,0.0179,0.0075,5,Unsecured,33114000.0
TL00138,R096,Term Loan,C&I Term,7284000.0,5.0,2.35,Floating,0.0284,0.01,7,Unsecured,7284000.0
TL00139,R010,Term Loan,C&I Term,43028000.0,5.0,3.42,Floating,0.0208,0.0075,5,Senior Secured,43028000.0
TL00140,R069,Term Loan,C&I Term,17339000.0,5.0,3.33,Fixed,0.0233,0.0025,5,Unsecured,17339000.0
TL00141,R005,Term Loan,CRE Term,23450000.0,3.0,1.21,Floating,0.0173,0.01,5,Real Estate,23450000.0
TL00142,R408,Term Loan,CRE Term,6941000.0,5.0,1.83,Floating,0.0125,0.0075,3,Real Estate,6941000.0
TL00143,R435,Term Loan,C&I Term,1116000.0,3.0,2.58,Floating,0.0257,0.01,6,Senior Secured,1116000.0
TL00144,R435,Term Loan,CRE Term,1272000.0,10.0,2.74,Floating,0.0181,0.0075,4,Real Estate,1272000.0
TL00145,R007,Term Loan,Equipment Finance,8362000.0,10.0,6.1,Floating,0.0305,0.01,7,Senior Secured,8362000.0
TL00146,R001,Term Loan,C&I Term,18010000.0,5.0,3.08,Floating,0.0217,0.01,4,Unsecured,18010000.0
TL00147,R153,Term Loan,Equipment Finance,739000.0,3.0,1.98,Floating,0.0356,0.0025,8,Senior Secured,739000.0
TL00148,R431,Term Loan,C&I Term,3385000.0,3.0,2.73,Fixed,0.0226,0.0025,6,Senior Secured,3385000.0
TL00149,R002,Term Loan,C&I Term,1665000.0,5.0,3.5,Floating,0.0185,0.0025,4,Senior Secured,1665000.0
TL00150,R095,Term Loan,CRE Term,15654000.0,7.0,6.85,Fixed,0.0188,0.01,3,Real Estate,15654000.0
TL00151,R410,Term Loan,CRE Term,1102000.0,5.0,4.49,Floating,0.0297,0.0025,7,Real Estate,1102000.0
TL00152,R004,Term Loan,Equipment Finance,15774000.0,3.0,1.12,Floating,0.0141,0.005,4,Senior Secured,15774000.0
TL00153,R160,Term Loan,C&I Term,12661000.0,3.0,1.18,Floating,0.017,0.01,2,Unsecured,12661000.0
TL00154,R258,Term Loan,CRE Term,1672000.0,3.0,1.43,Floating,0.025,0.005,6,Real Estate,1672000.0
TL00155,R442,Term Loan,C&I Term,4175000.0,7.0,3.59,Floating,0.0281,0.0025,7,Unsecured,4175000.0
TL00156,R005,Term Loan,CRE Term,4057000.0,5.0,3.21,Fixed,0.0163,0.005,5,Real Estate,4057000.0
TL00157,R344,Term Loan,C&I Term,26848000.0,5.0,1.93,Floating,0.0294,0.0025,7,Senior Secured,26848000.0
TL00158,R385,Term Loan,Equipment Finance,9412000.0,5.0,1.89,Floating,0.0159,0.005,3,Senior Secured,9412000.0
TL00159,R180,Term Loan,C&I Term,1554000.0,10.0,5.05,Floating,0.015,0.0075,2,Senior Secured,1554000.0
TL00160,R002,Term Loan,Equipment Finance,34260000.0,5.0,3.69,Floating,0.0139,0.0075,3,Senior Secured,34260000.0
TL00161,R420,Term Loan,CRE Term,516000.0,7.0,5.25,Floating,0.0283,0.0075,7,Real Estate,516000.0
TL00162,R421,Term Loan,CRE Term,1044000.0,7.0,6.87,Floating,0.0221,0.0025,5,Real Estate,1044000.0
TL00163,R392,Term Loan,CRE Term,12524000.0,5.0,1.81,Floating,0.0298,0.01,7,Real Estate,12524000.0
TL00164,R009,Term Loan,Equipment Finance,2460000.0,7.0,3.6,Floating,0.0118,0.005,3,Senior Secured,2460000.0
TL00165,R254,Term Loan,C&I Term,2059000.0,5.0,4.86,Floating,0.0186,0.005,5,Senior Secured,2059000.0
TL00166,R008,Term Loan,C&I Term,16771000.0,7.0,5.26,Floating,0.0197,0.0075,5,Senior Secured,16771000.0
TL00167,R005,Term Loan,CRE Term,52948000.0,3.0,2.02,Floating,0.0165,0.0025,5,Real Estate,52948000.0
TL00168,R467,Term Loan,C&I Term,371000.0,5.0,3.16,Floating,0.0161,0.005,4,Senior Secured,371000.0
TL00169,R201,Term Loan,C&I Term,14296000.0,3.0,0.78,Fixed,0.014,0.005,3,Senior Secured,14296000.0
TL00170,R245,Term Loan,C&I Term,2521000.0,3.0,2.74,Fixed,0.0257,0.0025,6,Senior Secured,2521000.0
TL00171,R009,Term Loan,C&I Term,7662000.0,3.0,2.1,Floating,0.0174,0.01,4,Senior Secured,7662000.0
TL00172,R182,Term Loan,C&I Term,495000.0,5.0,3.29,Floating,0.0113,0.005,3,Unsecured,495000.0
TL00173,R007,Term Loan,C&I Term,4589000.0,5.0,3.16,Fixed,0.0252,0.0025,7,Senior Secured,4589000.0
TL00174,R073,Term Loan,Equipment Finance,5447000.0,5.0,2.57,Floating,0.0279,0.005,6,Senior Secured,5447000.0
TL00175,R005,Term Loan,CRE Term,4500000.0,5.0,2.02,Floating,0.0168,0.01,5,Real Estate,4500000.0
TL00176,R113,Term Loan,Equipment Finance,2377000.0,10.0,8.04,Floating,0.019,0.0075,4,Senior Secured,2377000.0
TL00177,R131,Term Loan,Equipment Finance,774000.0,10.0,6.08,Floating,0.0248,0.0075,5,Senior Secured,774000.0
TL00178,R411,Term Loan,C&I Term,498000.0,3.0,0.68,Fixed,0.0326,0.01,8,Unsecured,498000.0
TL00179,R364,Term Loan,CRE Term,862000.0,5.0,2.6,Fixed,0.036,0.0025,9,Real Estate,862000.0
TL00180,R189,Term Loan,CRE Term,1721000.0,5.0,4.71,Fixed,0.0097,0.0075,3,Real Estate,1721000.0
TL00181,R004,Term Loan,CRE Term,8776000.0,7.0,3.49,Fixed,0.0175,0.005,3,Real Estate,8776000.0
TL00182,R357,Term Loan,C&I Term,1351000.0,5.0,2.65,Floating,0.0238,0.0075,5,Senior Secured,1351000.0
TL00183,R402,Term Loan,C&I Term,2295000.0,7.0,4.89,Fixed,0.0312,0.01,6,Senior Secured,2295000.0
TL00184,R268,Term Loan,C&I Term,3126000.0,3.0,2.52,Floating,0.0286,0.0025,8,Senior Secured,3126000.0
TL00185,R277,Term Loan,CRE Term,1026000.0,5.0,3.67,Floating,0.0262,0.0025,8,Real Estate,1026000.0
TL00186,R001,Term Loan,Equipment Finance,4752000.0,7.0,6.16,Floating,0.0178,0.01,5,Senior Secured,4752000.0
TL00187,R156,Term Loan,CRE Term,1397000.0,5.0,1.46,Floating,0.0271,0.005,7,Real Estate,1397000.0
TL00188,R002,Term Loan,CRE Term,15966000.0,7.0,6.58,Floating,0.0128,0.005,2,Real Estate,15966000.0
TL00189,R186,Term Loan,Equipment Finance,409000.0,3.0,2.77,Floating,0.0249,0.0025,5,Senior Secured,409000.0
TL00190,R403,Term Loan,CRE Term,645000.0,3.0,1.85,Floating,0.0276,0.005,7,Real Estate,645000.0
TL00191,R176,Term Loan,C&I Term,740000.0,3.0,2.1,Floating,0.0244,0.0025,6,Senior Secured,740000.0
TL00192,R187,Term Loan,Equipment Finance,1113000.0,3.0,1.11,Floating,0.0123,0.0025,1,Senior Secured,1113000.0
TL00193,R390,Term Loan,C&I Term,715000.0,3.0,1.68,Floating,0.0328,0.0025,9,Unsecured,715000.0
TL00194,R203,Term Loan,C&I Term,2315000.0,5.0,1.81,Floating,0.0242,0.0025,6,Senior Secured,2315000.0
TL00195,R010,Term Loan,CRE Term,3034000.0,5.0,1.09,Floating,0.022,0.01,5,Real Estate,3034000.0
TL00196,R128,Term Loan,Equipment Finance,372000.0,7.0,6.89,Fixed,0.0169,0.01,2,Senior Secured,372000.0
TL00197,R392,Term Loan,C&I Term,3020000.0,5.0,2.04,Floating,0.0305,0.01,7,Senior Secured,3020000.0
TL00198,R437,Term Loan,C&I Term,1142000.0,3.0,2.02,Floating,0.019,0.0025,4,Senior Secured,1142000.0
TL00199,R320,Term Loan,C&I Term,1232000.0,7.0,3.08,Floating,0.0113,0.005,3,Senior Secured,1232000.0
TL00200,R403,Term Loan,C&I Term,809000.0,3.0,1.49,Fixed,0.0218,0.005,5,Unsecured,809000.0
TL00201,R179,Term Loan,C&I Term,954000.0,7.0,3.63,Floating,0.0259,0.0075,7,Unsecured,954000.0
TL00202,R069,Term Loan,CRE Term,2880000.0,3.0,1.4,Floating,0.0219,0.0025,5,Real Estate,2880000.0
TL00203,R409,Term Loan,Equipment Finance,1485000.0,5.0,3.55,Floating,0.0205,0.0025,5,Senior Secured,1485000.0
TL00204,R492,Term Loan,C&I Term,774000.0,7.0,6.78,Fixed,0.0193,0.01,4,Senior Secured,774000.0
TL00205,R044,Term Loan,C&I Term,12865000.0,5.0,2.71,Fixed,0.0252,0.005,7,Senior Secured,12865000.0
TL00206,R291,Term Loan,C&I Term,5829000.0,5.0,4.89,Floating,0.0162,0.01,4,Senior Secured,5829000.0
TL00207,R379,Term Loan,C&I Term,689000.0,7.0,5.14,Floating,0.0365,0.0025,9,Unsecured,689000.0
TL00208,R315,Term Loan,CRE Term,4254000.0,3.0,2.06,Floating,0.0198,0.01,5,Real Estate,4254000.0
TL00209,R106,Term Loan,CRE Term,1452000.0,7.0,2.73,Floating,0.0138,0.0075,2,Real Estate,1452000.0
TL00210,R458,Term Loan,CRE Term,10423000.0,7.0,1.75,Fixed,0.0218,0.01,4,Real Estate,10423000.0
TL00211,R091,Term Loan,C&I Term,813000.0,10.0,8.82,Fixed,0.0301,0.0075,7,Senior Secured,813000.0
TL00212,R370,Term Loan,CRE Term,2429000.0,5.0,3.3,Fixed,0.0326,0.01,8,Real Estate,2429000.0
TL00213,R158,Term Loan,C&I Term,1360000.0,5.0,2.66,Fixed,0.023,0.005,5,Unsecured,1360000.0
TL00214,R481,Term Loan,C&I Term,13008000.0,7.0,5.95,Floating,0.024,0.005,5,Senior Secured,13008000.0
TL00215,R413,Term Loan,Equipment Finance,3693000.0,5.0,2.24,Fixed,0.0256,0.0025,5,Senior Secured,3693000.0
TL00216,R144,Term Loan,CRE Term,4618000.0,5.0,4.13,Floating,0.0233,0.0025,5,Real Estate,4618000.0
TL00217,R319,Term Loan,Equipment Finance,1066000.0,3.0,1.39,Floating,0.026,0.01,8,Senior Secured,1066000.0
TL00218,R165,Term Loan,Equipment Finance,1972000.0,3.0,2.81,Floating,0.0181,0.005,4,Senior Secured,1972000.0
TL00219,R372,Term Loan,CRE Term,3414000.0,5.0,2.07,Floating,0.0323,0.0025,8,Real Estate,3414000.0
TL00220,R404,Term Loan,Equipment Finance,5043000.0,3.0,0.93,Fixed,0.0234,0.005,6,Senior Secured,5043000.0
TL00221,R173,Term Loan,C&I Term,4200000.0,3.0,2.28,Fixed,0.0319,0.005,7,Unsecured,4200000.0
TL00222,R385,Term Loan,C&I Term,2851000.0,3.0,0.99,Fixed,0.0192,0.0075,4,Senior Secured,2851000.0
TL00223,R009,Term Loan,C&I Term,7585000.0,10.0,9.59,Fixed,0.0172,0.0025,4,Senior Secured,7585000.0
