account_id,relationship_id,product,sub_type,monthly_volume,unit_price,monthly_card_spend,monthly_revenue,ecr_offset_pct
PM00029,R099,Payments,Positive Pay,965,0.08,0.0,77.2,0.16
PM00030,R169,Payments,Wire Transfer,54,18.0,0.0,972.0,0.15
PM00031,R185,Payments,Account Reconciliation,1879,0.05,0.0,93.95,0.45
PM00032,R177,Payments,RTP / Instant,282,0.45,0.0,126.9,0.36
PM00033,R500,Payments,Wire Transfer,119,18.0,0.0,2142.0,0.15
PM00034,R002,Payments,Wire Transfer,130,18.0,0.0,2340.0,0.19
PM00035,R371,Payments,Account Reconciliation,191,0.05,0.0,9.55,0.12
PM00036,R453,Payments,Remote Deposit Capture,328,0.2,0.0,65.6,0.18
PM00037,R103,Payments,Wire Transfer,88,18.0,0.0,1584.0,0.04
PM00038,R015,Payments,Wire Transfer,12,18.0,0.0,216.0,0.38
PM00039,R322,Payments,Remote Deposit Capture,269,0.2,0.0,53.8,0.24
PM00040,R180,Payments,ACH Origination,2245,0.12,0.0,269.4,0.27
PM00041,R010,Payments,Positive Pay,2244,0.08,0.0,179.52,0.09
PM00042,R320,Payments,RTP / Instant,454,0.45,0.0,204.3,0.2
PM00043,R004,Payments,Wire Transfer,121,18.0,0.0,2178.0,0.21
PM00044,R086,Payments,Positive Pay,1891,0.08,0.0,151.28,0.04
PM00045,R008,Payments,Wire Transfer,33,18.0,0.0,594.0,0.01
PM00046,R006,Payments,RTP / Instant,535,0.45,0.0,240.75,0.28
PM00047,R023,Payments,Commercial Card,0,0.0,193700.0,2421.25,0.0
PM00048,R314,Payments,RTP / Instant,253,0.45,0.0,113.85,0.29
PM00049,R360,Payments,Remote Deposit Capture,110,0.2,0.0,22.0,0.4
PM00050,R171,Payments,Positive Pay,899,0.08,0.0,71.92,0.45
PM00051,R273,Payments,ACH Origination,1568,0.12,0.0,188.16,0.38
PM00052,R449,Payments,Commercial Card,0,0.0,192400.0,2405.0,0.0
PM00053,R446,Payments,Positive Pay,660,0.08,0.0,52.8,0.14
PM00054,R491,Payments,Positive Pay,519,0.08,0.0,41.52,0.35
PM00055,R267,Payments,Remote Deposit Capture,206,0.2,0.0,41.2,0.41
PM00056,R025,Payments,Positive Pay,453,0.08,0.0,36.24,0.41
PM00057,R096,Payments,Account Reconciliation,830,0.05,0.0,41.5,0.3
PM00058,R140,Payments,Commercial Card,0,0.0,228300.0,2853.75,0.0
PM00059,R125,Payments,RTP / Instant,83,0.45,0.0,37.35,0.07
PM00060,R205,Payments,Remote Deposit Capture,64,0.2,0.0,12.8,0.18
PM00061,R105,Payments,Commercial Card,0,0.0,493300.0,6166.25,0.0
PM00062,R312,Payments,Commercial Card,0,0.0,92100.0,1151.25,0.0
PM00063,R003,Payments,ACH Origination,33166,0.12,0.0,3979.92,0.35
PM00064,R110,Payments,Commercial Card,0,0.0,81800.0,1022.5,0.0
PM00065,R474,Payments,ACH Origination,3590,0.12,0.0,430.8,0.33
PM00066,R160,Payments,Lockbox,1869,0.65,0.0,1214.85,0.35
PM00067,R265,Payments,Positive Pay,2163,0.08,0.0,173.04,0.4
PM00068,R058,Payments,Remote Deposit Capture,114,0.2,0.0,22.8,0.44
PM00069,R121,Payments,Wire Transfer,35,18.0,0.0,630.0,0.34
PM00070,R137,Payments,Account Reconciliation,566,0.05,0.0,28.3,0.3
PM00071,R087,Payments,Positive Pay,1154,0.08,0.0,92.32,0.35
PM00072,R479,Payments,Positive Pay,752,0.08,0.0,60.16,0.09
PM00073,R114,Payments,Remote Deposit Capture,66,0.2,0.0,13.2,0.33
PM00074,R396,Payments,Lockbox,67,0.65,0.0,43.55,0.41
PM00075,R228,Payments,Wire Transfer,70,18.0,0.0,1260.0,0.2
PM00076,R488,Payments,ACH Origination,2187,0.12,0.0,262.44,0.01
PM00077,R340,Payments,RTP / Instant,53,0.45,0.0,23.85,0.15
PM00078,R111,Payments,Remote Deposit Capture,110,0.2,0.0,22.0,0.04
PM00079,R008,Payments,Wire Transfer,60,18.0,0.0,1080.0,0.28
PM00080,R478,Payments,Wire Transfer,12,18.0,0.0,216.0,0.38
PM00081,R485,Payments,ACH Origination,1086,0.12,0.0,130.32,0.04
PM00082,R064,Payments,Positive Pay,911,0.08,0.0,72.88,0.19
PM00083,R074,Payments,RTP / Instant,85,0.45,0.0,38.25,0.3
PM00084,R157,Payments,RTP / Instant,50,0.45,0.0,22.5,0.41
PM00085,R161,Payments,Positive Pay,1803,0.08,0.0,144.24,0.1
PM00086,R361,Payments,RTP / Instant,171,0.45,0.0,76.95,0.24
PM00087,R275,Payments,ACH Origination,8282,0.12,0.0,993.84,0.01
PM00088,R004,Payments,Lockbox,2545,0.65,0.0,1654.25,0.18
PM00089,R379,Payments,Commercial Card,0,0.0,271700.0,3396.25,0.0
PM00090,R009,Payments,Positive Pay,6136,0.08,0.0,490.88,0.08
PM00091,R187,Payments,Remote Deposit Capture,168,0.2,0.0,33.6,0.06
PM00092,R497,Payments,ACH Origination,4836,0.12,0.0,580.32,0.17
PM00093,R133,Payments,ACH Origination,1084,0.12,0.0,130.08,0.03
PM00094,R272,Payments,Wire Transfer,30,18.0,0.0,540.0,0.41
PM00095,R287,Payments,ACH Origination,1225,0.12,0.0,147.0,0.43
PM00096,R443,Payments,Positive Pay,589,0.08,0.0,47.12,0.39
PM00097,R008,Payments,Positive Pay,5857,0.08,0.0,468.56,0.0
PM00098,R049,Payments,Commercial Card,0,0.0,71800.0,897.5,0.0
PM00099,R089,Payments,Wire Transfer,8,18.0,0.0,144.0,0.2
PM00100,R255,Payments,Commercial Card,0,0.0,652000.0,8150.0,0.0
PM00101,R248,Payments,Wire Transfer,24,18.0,0.0,432.0,0.36
PM00102,R400,Payments,Remote Deposit Capture,137,0.2,0.0,27.4,0.3
PM00103,R135,Payments,RTP / Instant,209,0.45,0.0,94.05,0.09
PM00104,R322,Payments,ACH Origination,15592,0.12,0.0,1871.04,0.04
PM00105,R010,Payments,Wire Transfer,205,18.0,0.0,3690.0,0.27
PM00106,R319,Payments,Positive Pay,993,0.08,0.0,79.44,0.38
PM00107,R087,Payments,Commercial Card,0,0.0,670200.0,8377.5,0.0
PM00108,R195,Payments,Lockbox,291,0.65,0.0,189.15,0.11
PM00109,R116,Payments,RTP / Instant,166,0.45,0.0,74.7,0.25
PM00110,R378,Payments,Wire Transfer,38,18.0,0.0,684.0,0.24
PM00111,R438,Payments,ACH Origination,699,0.12,0.0,83.88,0.35
PM00112,R257,Payments,Remote Deposit Capture,61,0.2,0.0,12.2,0.19
PM00113,R328,Payments,Commercial Card,0,0.0,503500.0,6293.75,0.0
PM00114,R126,Payments,Wire Transfer,159,18.0,0.0,2862.0,0.12
PM00115,R105,Payments,Wire Transfer,103,18.0,0.0,1854.0,0.01
PM00116,R325,Payments,Positive Pay,1270,0.08,0.0,101.6,0.35
PM00117,R181,Payments,RTP / Instant,61,0.45,0.0,27.45,0.44
PM00118,R008,Payments,Wire Transfer,101,18.0,0.0,1818.0,0.44
PM00119,R001,Payments,Lockbox,1816,0.65,0.0,1180.4,0.34
PM00120,R143,Payments,Lockbox,189,0.65,0.0,122.85,0.3
PM00121,R010,Payments,Positive Pay,2200,0.08,0.0,176.0,0.17
PM00122,R200,Payments,Account Reconciliation,2428,0.05,0.0,121.4,0.42
PM00123,R265,Payments,RTP / Instant,302,0.45,0.0,135.9,0.22
PM00124,R330,Payments,Commercial Card,0,0.0,213900.0,2673.75,0.0
PM00125,R008,Payments,Commercial Card,0,0.0,1998600.0,24982.5,0.0
PM00126,R349,Payments,Commercial Card,0,0.0,474500.0,5931.25,0.0
PM00127,R159,Payments,Remote Deposit Capture,144,0.2,0.0,28.8,0.31
PM00128,R134,Payments,Wire Transfer,16,18.0,0.0,288.0,0.14
PM00129,R357,Payments,Commercial Card,0,0.0,227300.0,2841.25,0.0
PM00130,R047,Payments,ACH Origination,810,0.12,0.0,97.2,0.08
PM00131,R002,Payments,RTP / Instant,502,0.45,0.0,225.9,0.1
PM00132,R008,Payments,Commercial Card,0,0.0,1222000.0,15275.0,0.0
PM00133,R073,Payments,Remote Deposit Capture,134,0.2,0.0,26.8,0.17
PM00134,R001,Payments,ACH Origination,4130,0.12,0.0,495.6,0.37
PM00135,R412,Payments,Commercial Card,0,0.0,128400.0,1605.0,0.0
PM00136,R237,Payments,Lockbox,228,0.65,0.0,148.2,0.39
PM00137,R368,Payments,Positive Pay,1344,0.08,0.0,107.52,0.15
PM00138,R220,Payments,Account Reconciliation,439,0.05,0.0,21.95,0.17
PM00139,R020,Payments,Account Reconciliation,201,0.05,0.0,10.05,0.34
PM00140,R102,Payments,Lockbox,212,0.65,0.0,137.8,0.11
PM00141,R325,Payments,Remote Deposit Capture,385,0.2,0.0,77.0,0.06
PM00142,R495,Payments,Lockbox,1803,0.65,0.0,1171.95,0.06
PM00143,R390,Payments,Wire Transfer,57,18.0,0.0,1026.0,0.1
PM00144,R102,Payments,Remote Deposit Capture,109,0.2,0.0,21.8,0.27
PM00145,R380,Payments,RTP / Instant,661,0.45,0.0,297.45,0.02
PM00146,R225,Payments,Remote Deposit Capture,136,0.2,0.0,27.2,0.3
PM00147,R417,Payments,Remote Deposit Capture,208,0.2,0.0,41.6,0.34
PM00148,R006,Payments,ACH Origination,16086,0.12,0.0,1930.32,0.34
PM00149,R008,Payments,Commercial Card,0,0.0,1813400.0,22667.5,0.0
PM00150,R370,Payments,Account Reconciliation,598,0.05,0.0,29.9,0.2
PM00151,R185,Payments,Wire Transfer,66,18.0,0.0,1188.0,0.44
PM00152,R459,Payments,Lockbox,659,0.65,0.0,428.35,0.04
PM00153,R113,Payments,Remote Deposit Capture,251,0.2,0.0,50.2,0.34
PM00154,R020,Payments,Account Reconciliation,299,0.05,0.0,14.95,0.17
PM00155,R205,Payments,RTP / Instant,81,0.45,0.0,36.45,0.37
PM00156,R339,Payments,RTP / Instant,41,0.45,0.0,18.45,0.28
PM00157,R007,Payments,ACH Origination,16548,0.12,0.0,1985.76,0.06
PM00158,R145,Payments,Remote Deposit Capture,589,0.2,0.0,117.8,0.38
PM00159,R309,Payments,Remote Deposit Capture,36,0.2,0.0,7.2,0.03
PM00160,R114,Payments,Account Reconciliation,214,0.05,0.0,10.7,0.36
PM00161,R199,Payments,Lockbox,338,0.65,0.0,219.7,0.26
PM00162,R437,Payments,Lockbox,180,0.65,0.0,117.0,0.07
PM00163,R217,Payments,Lockbox,207,0.65,0.0,134.55,0.27
PM00164,R369,Payments,RTP / Instant,688,0.45,0.0,309.6,0.25
PM00165,R002,Payments,ACH Origination,11391,0.12,0.0,1366.92,0.14
PM00166,R089,Payments,Wire Transfer,21,18.0,0.0,378.0,0.37
PM00167,R337,Payments,Positive Pay,255,0.08,0.0,20.4,0.06
PM00168,R001,Payments,RTP / Instant,1290,0.45,0.0,580.5,0.06
PM00169,R151,Payments,Wire Transfer,6,18.0,0.0,108.0,0.11
PM00170,R216,Payments,Lockbox,242,0.65,0.0,157.3,0.39
PM00171,R402,Payments,Account Reconciliation,231,0.05,0.0,11.55,0.07
PM00172,R181,Payments,RTP / Instant,178,0.45,0.0,80.1,0.36
PM00173,R008,Payments,Account Reconciliation,2844,0.05,0.0,142.2,0.35
PM00174,R032,Payments,Commercial Card,0,0.0,71700.0,896.25,0.0
PM00175,R126,Payments,RTP / Instant,671,0.45,0.0,301.95,0.21
PM00176,R286,Payments,Commercial Card,0,0.0,361000.0,4512.5,0.0
PM00177,R113,Payments,Positive Pay,1127,0.08,0.0,90.16,0.1
PM00178,R058,Payments,Wire Transfer,9,18.0,0.0,162.0,0.31
PM00179,R307,Payments,Lockbox,545,0.65,0.0,354.25,0.21
PM00180,R009,Payments,RTP / Instant,3052,0.45,0.0,1373.4,0.12
PM00181,R190,Payments,Positive Pay,1027,0.08,0.0,82.16,0.15
PM00182,R283,Payments,ACH Origination,2075,0.12,0.0,249.0,0.06
PM00183,R059,Payments,ACH Origination,2087,0.12,0.0,250.44,0.02
PM00184,R258,Payments,Lockbox,252,0.65,0.0,163.8,0.2
PM00185,R004,Payments,Positive Pay,1729,0.08,0.0,138.32,0.44
PM00186,R004,Payments,Lockbox,1094,0.65,0.0,711.1,0.42
PM00187,R391,Payments,ACH Origination,4113,0.12,0.0,493.56,0.06
PM00188,R279,Payments,ACH Origination,2150,0.12,0.0,258.0,0.25
PM00189,R417,Payments,ACH Origination,4026,0.12,0.0,483.12,0.16
PM00190,R356,Payments,ACH Origination,6278,0.12,0.0,753.36,0.29
PM00191,R030,Payments,Account Reconciliation,1146,0.05,0.0,57.3,0.01
PM00192,R148,Payments,RTP / Instant,210,0.45,0.0,94.5,0.24
PM00193,R002,Payments,Account Reconciliation,1031,0.05,0.0,51.55,0.21
PM00194,R010,Payments,Lockbox,4151,0.65,0.0,2698.15,0.25
PM00195,R382,Payments,Remote Deposit Capture,265,0.2,0.0,53.0,0.07
PM00196,R197,Payments,Remote Deposit Capture,315,0.2,0.0,63.0,0.28
PM00197,R003,Payments,Positive Pay,12990,0.08,0.0,1039.2,0.13
PM00198,R047,Payments,Remote Deposit Capture,312,0.2,0.0,62.4,0.23
PM00199,R359,Payments,Lockbox,423,0.65,0.0,274.95,0.39
PM00200,R272,Payments,Lockbox,270,0.65,0.0,175.5,0.04
PM00201,R002,Payments,ACH Origination,12198,0.12,0.0,1463.76,0.18
PM00202,R359,Payments,Positive Pay,2030,0.08,0.0,162.4,0.25
PM00203,R244,Payments,Commercial Card,0,0.0,92200.0,1152.5,0.0
PM00204,R100,Payments,Positive Pay,414,0.08,0.0,33.12,0.22
PM00205,R497,Payments,Wire Transfer,67,18.0,0.0,1206.0,0.32
PM00206,R359,Payments,RTP / Instant,270,0.45,0.0,121.5,0.3
PM00207,R288,Payments,RTP / Instant,264,0.45,0.0,118.8,0.21
PM00208,R306,Payments,Account Reconciliation,154,0.05,0.0,7.7,0.12
PM00209,R126,Payments,Wire Transfer,105,18.0,0.0,1890.0,0.12
PM00210,R007,Payments,RTP / Instant,1634,0.45,0.0,735.3,0.34
PM00211,R011,Payments,RTP / Instant,95,0.45,0.0,42.75,0.2
PM00212,R031,Payments,Lockbox,336,0.65,0.0,218.4,0.15
PM00213,R094,Payments,RTP / Instant,329,0.45,0.0,148.05,0.31
PM00214,R008,Payments,Remote Deposit Capture,2941,0.2,0.0,588.2,0.23
PM00215,R199,Payments,Positive Pay,1628,0.08,0.0,130.24,0.2
PM00216,R228,Payments,RTP / Instant,145,0.45,0.0,65.25,0.06
PM00217,R178,Payments,RTP / Instant,314,0.45,0.0,141.3,0.41
PM00218,R309,Payments,Positive Pay,564,0.08,0.0,45.12,0.37
PM00219,R236,Payments,RTP / Instant,346,0.45,0.0,155.7,0.38
PM00220,R001,Payments,Account Reconciliation,4825,0.05,0.0,241.25,0.08
PM00221,R304,Payments,ACH Origination,1261,0.12,0.0,151.32,0.23
PM00222,R006,Payments,RTP / Instant,1130,0.45,0.0,508.5,0.43
PM00223,R079,Payments,Lockbox,329,0.65,0.0,213.85,0.42
PM00224,R283,Payments,Remote Deposit Capture,204,0.2,0.0,40.8,0.02
PM00225,R465,Payments,RTP / Instant,392,0.45,0.0,176.4,0.0
PM00226,R229,Payments,Wire Transfer,136,18.0,0.0,2448.0,0.23
PM00227,R264,Payments,Lockbox,478,0.65,0.0,310.7,0.1
PM00228,R002,Payments,Commercial Card,0,0.0,1904500.0,23806.25,0.0
PM00229,R183,Payments,Remote Deposit Capture,222,0.2,0.0,44.4,0.21
PM00230,R377,Payments,ACH Origination,737,0.12,0.0,88.44,0.02
PM00231,R099,Payments,Commercial Card,0,0.0,414400.0,5180.0,0.0
PM00232,R344,Payments,Positive Pay,1171,0.08,0.0,93.68,0.16
PM00233,R184,Payments,RTP / Instant,551,0.45,0.0,247.95,0.03
PM00234,R065,Payments,Wire Transfer,27,18.0,0.0,486.0,0.38
PM00235,R487,Payments,Commercial Card,0,0.0,326500.0,4081.25,0.0
PM00236,R335,Payments,Commercial Card,0,0.0,278400.0,3480.0,0.0
PM00237,R395,Payments,Wire Transfer,11,18.0,0.0,198.0,0.0
PM00238,R030,Payments,Positive Pay,197,0.08,0.0,15.76,0.26
PM00239,R457,Payments,Positive Pay,1014,0.08,0.0,81.12,0.21
PM00240,R297,Payments,Lockbox,366,0.65,0.0,237.9,0.42
PM00241,R001,Payments,Positive Pay,16744,0.08,0.0,1339.52,0.08
PM00242,R051,Payments,Remote Deposit Capture,348,0.2,0.0,69.6,0.25
PM00243,R089,Payments,Lockbox,178,0.65,0.0,115.7,0.08
PM00244,R006,Payments,Remote Deposit Capture,2023,0.2,0.0,404.6,0.39
PM00245,R287,Payments,ACH Origination,572,0.12,0.0,68.64,0.15
PM00246,R117,Payments,Commercial Card,0,0.0,82500.0,1031.25,0.0
PM00247,R176,Payments,Commercial Card,0,0.0,175900.0,2198.75,0.0
PM00248,R178,Payments,Commercial Card,0,0.0,702300.0,8778.75,0.0
PM00249,R055,Payments,RTP / Instant,33,0.45,0.0,14.85,0.05
PM00250,R333,Payments,ACH Origination,6298,0.12,0.0,755.76,0.2
PM00251,R083,Payments,ACH Origination,16586,0.12,0.0,1990.32,0.17
PM00252,R018,Payments,RTP / Instant,154,0.45,0.0,69.3,0.16
PM00253,R208,Payments,ACH Origination,1429,0.12,0.0,171.48,0.0
PM00254,R006,Payments,Wire Transfer,118,18.0,0.0,2124.0,0.35
PM00255,R469,Payments,ACH Origination,921,0.12,0.0,110.52,0.33
PM00256,R491,Payments,Lockbox,220,0.65,0.0,143.0,0.32
PM00257,R486,Payments,Remote Deposit Capture,53,0.2,0.0,10.6,0.19
PM00258,R325,Payments,ACH Origination,6276,0.12,0.0,753.12,0.22
PM00259,R253,Payments,RTP / Instant,273,0.45,0.0,122.85,0.3
PM00260,R315,Payments,RTP / Instant,278,0.45,0.0,125.1,0.43
PM00261,R316,Payments,Lockbox,811,0.65,0.0,527.15,0.13
PM00262,R347,Payments,Positive Pay,537,0.08,0.0,42.96,0.34
PM00263,R328,Payments,Remote Deposit Capture,496,0.2,0.0,99.2,0.28
PM00264,R249,Payments,Wire Transfer,32,18.0,0.0,576.0,0.29
PM00265,R339,Payments,RTP / Instant,168,0.45,0.0,75.6,0.04
PM00266,R031,Payments,ACH Origination,8366,0.12,0.0,1003.92,0.34
PM00267,R405,Payments,ACH Origination,2200,0.12,0.0,264.0,0.18
PM00268,R305,Payments,Commercial Card,0,0.0,273200.0,3415.0,0.0
PM00269,R316,Payments,RTP / Instant,469,0.45,0.0,211.05,0.19
PM00270,R192,Payments,Wire Transfer,64,18.0,0.0,1152.0,0.39
PM00271,R142,Payments,Lockbox,335,0.65,0.0,217.75,0.29
PM00272,R313,Payments,Lockbox,196,0.65,0.0,127.4,0.0
PM00273,R352,Payments,Lockbox,283,0.65,0.0,183.95,0.11
PM00274,R034,Payments,Account Reconciliation,548,0.05,0.0,27.4,0.31
PM00275,R318,Payments,Commercial Card,0,0.0,193100.0,2413.75,0.0
PM00276,R331,Payments,Lockbox,220,0.65,0.0,143.0,0.24
PM00277,R302,Payments,Wire Transfer,10,18.0,0.0,180.0,0.27
PM00278,R047,Payments,ACH Origination,5894,0.12,0.0,707.28,0.13
PM00279,R222,Payments,Commercial Card,0,0.0,61700.0,771.25,0.0
PM00280,R073,Payments,Account Reconciliation,1742,0.05,0.0,87.1,0.2
PM00281,R006,Payments,Commercial Card,0,0.0,248200.0,3102.5,0.0
PM00282,R203,Payments,Commercial Card,0,0.0,177900.0,2223.75,0.0
PM00283,R437,Payments,Commercial Card,0,0.0,739500.0,9243.75,0.0
PM00284,R002,Payments,Positive Pay,1999,0.08,0.0,159.92,0.03
PM00285,R332,Payments,Remote Deposit Capture,152,0.2,0.0,30.4,0.15
PM00286,R267,Payments,Positive Pay,424,0.08,0.0,33.92,0.36
PM00287,R444,Payments,Remote Deposit Capture,210,0.2,0.0,42.0,0.12
PM00288,R002,Payments,Account Reconciliation,6770,0.05,0.0,338.5,0.31
PM00289,R021,Payments,Lockbox,67,0.65,0.0,43.55,0.12
PM00290,R192,Payments,RTP / Instant,780,0.45,0.0,351.0,0.11
PM00291,R021,Payments,Wire Transfer,8,18.0,0.0,144.0,0.1
PM00292,R182,Payments,RTP / Instant,96,0.45,0.0,43.2,0.19
PM00293,R046,Payments,Positive Pay,610,0.08,0.0,48.8,0.12
PM00294,R003,Payments,Commercial Card,0,0.0,5766100.0,72076.25,0.0
PM00295,R193,Payments,Account Reconciliation,253,0.05,0.0,12.65,0.26
PM00296,R380,Payments,Wire Transfer,37,18.0,0.0,666.0,0.37
PM00297,R095,Payments,Wire Transfer,51,18.0,0.0,918.0,0.34
PM00298,R171,Payments,Commercial Card,0,0.0,411600.0,5145.0,0.0
PM00299,R008,Payments,ACH Origination,3508,0.12,0.0,420.96,0.14
PM00300,R191,Payments,Account Reconciliation,84,0.05,0.0,4.2,0.3
PM00301,R321,Payments,Wire Transfer,16,18.0,0.0,288.0,0.19
PM00302,R462,Payments,Positive Pay,942,0.08,0.0,75.36,0.34
PM00303,R002,Payments,ACH Origination,14614,0.12,0.0,1753.68,0.39
PM00304,R003,Payments,ACH Origination,45425,0.12,0.0,5451.0,0.13
PM00305,R080,Payments,Remote Deposit Capture,354,0.2,0.0,70.8,0.17
PM00306,R008,Payments,Commercial Card,0,0.0,5060300.0,63253.75,0.0
PM00307,R141,Payments,Remote Deposit Capture,119,0.2,0.0,23.8,0.19
PM00308,R439,Payments,Account Reconciliation,571,0.05,0.0,28.55,0.2
PM00309,R003,Payments,Remote Deposit Capture,899,0.2,0.0,179.8,0.41
PM00310,R060,Payments,Wire Transfer,29,18.0,0.0,522.0,0.18
PM00311,R203,Payments,Commercial Card,0,0.0,289400.0,3617.5,0.0
PM00312,R009,Payments,Positive Pay,5806,0.08,0.0,464.48,0.15
PM00313,R016,Payments,Wire Transfer,149,18.0,0.0,2682.0,0.05
PM00314,R472,Payments,Wire Transfer,68,18.0,0.0,1224.0,0.27
PM00315,R412,Payments,Lockbox,251,0.65,0.0,163.15,0.1
PM00316,R072,Payments,Account Reconciliation,2825,0.05,0.0,141.25,0.23
PM00317,R006,Payments,Lockbox,1008,0.65,0.0,655.2,0.35
PM00318,R065,Payments,RTP / Instant,329,0.45,0.0,148.05,0.33
PM00319,R151,Payments,Positive Pay,274,0.08,0.0,21.92,0.05
PM00320,R274,Payments,Commercial Card,0,0.0,135500.0,1693.75,0.0
PM00321,R276,Payments,Positive Pay,450,0.08,0.0,36.0,0.36
PM00322,R356,Payments,Positive Pay,1940,0.08,0.0,155.2,0.0
PM00323,R239,Payments,Lockbox,1514,0.65,0.0,984.1,0.07
PM00324,R306,Payments,RTP / Instant,63,0.45,0.0,28.35,0.19
PM00325,R008,Payments,Lockbox,1364,0.65,0.0,886.6,0.23
PM00326,R427,Payments,Remote Deposit Capture,104,0.2,0.0,20.8,0.24
PM00327,R320,Payments,Lockbox,515,0.65,0.0,334.75,0.4
PM00328,R022,Payments,Remote Deposit Capture,58,0.2,0.0,11.6,0.34
PM00329,R358,Payments,RTP / Instant,124,0.45,0.0,55.8,0.43
PM00330,R185,Payments,RTP / Instant,1090,0.45,0.0,490.5,0.43
PM00331,R153,Payments,RTP / Instant,85,0.45,0.0,38.25,0.02
PM00332,R213,Payments,RTP / Instant,427,0.45,0.0,192.15,0.05
PM00333,R421,Payments,RTP / Instant,141,0.45,0.0,63.45,0.36
PM00334,R338,Payments,Commercial Card,0,0.0,371000.0,4637.5,0.0
PM00335,R379,Payments,Remote Deposit Capture,147,0.2,0.0,29.4,0.31
PM00336,R134,Payments,RTP / Instant,93,0.45,0.0,41.85,0.0
PM00337,R001,Payments,RTP / Instant,1351,0.45,0.0,607.95,0.04
PM00338,R103,Payments,RTP / Instant,346,0.45,0.0,155.7,0.43
PM00339,R163,Payments,Wire Transfer,18,18.0,0.0,324.0,0.04
PM00340,R134,Payments,ACH Origination,419,0.12,0.0,50.28,0.41
PM00341,R008,Payments,ACH Origination,2751,0.12,0.0,330.12,0.17
PM00342,R312,Payments,ACH Origination,1106,0.12,0.0,132.72,0.42
PM00343,R006,Payments,Wire Transfer,244,18.0,0.0,4392.0,0.09
PM00344,R006,Payments,Commercial Card,0,0.0,655400.0,8192.5,0.0
PM00345,R112,Payments,Wire Transfer,14,18.0,0.0,252.0,0.23
PM00346,R390,Payments,RTP / Instant,77,0.45,0.0,34.65,0.35
PM00347,R012,Payments,Lockbox,334,0.65,0.0,217.1,0.09
PM00348,R026,Payments,ACH Origination,20670,0.12,0.0,2480.4,0.06
PM00349,R150,Payments,Lockbox,114,0.65,0.0,74.1,0.1
PM00350,R024,Payments,Remote Deposit Capture,47,0.2,0.0,9.4,0.34
PM00351,R121,Payments,ACH Origination,788,0.12,0.0,94.56,0.0
PM00352,R063,Payments,RTP / Instant,128,0.45,0.0,57.6,0.31
PM00353,R071,Payments,ACH Origination,987,0.12,0.0,118.44,0.05
PM00354,R452,Payments,Wire Transfer,20,18.0,0.0,360.0,0.3
PM00355,R004,Payments,Account Reconciliation,1644,0.05,0.0,82.2,0.14
PM00356,R102,Payments,Positive Pay,359,0.08,0.0,28.72,0.41
PM00357,R003,Payments,RTP / Instant,615,0.45,0.0,276.75,0.14
PM00358,R027,Payments,Account Reconciliation,309,0.05,0.0,15.45,0.41
PM00359,R003,Payments,Remote Deposit Capture,1662,0.2,0.0,332.4,0.26
PM00360,R453,Payments,Account Reconciliation,584,0.05,0.0,29.2,0.1
