relationship_id,name,industry,rating,lending_weight,deposit_weight,payments_weight,ird_trades,segment
R143,Client 143,Healthcare,5,1.0,1.0,1.0,0,Business Banking
R144,Client 144,Energy,5,1.0,1.0,1.0,0,Middle Market
R145,Client 145,Construction,6,1.0,1.0,1.0,0,Middle Market
R146,Client 146,Technology,5,1.0,1.0,1.0,0,Business Banking
R147,Client 147,Retail,8,1.0,1.0,1.0,0,Middle Market
R148,Client 148,Industrial Manufacturing,6,1.0,1.0,1.0,0,Business Banking
R149,Client 149,Commercial Real Estate,5,1.0,1.0,1.0,0,Business Banking
R150,Client 150,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R151,Client 151,Education,9,1.0,1.0,1.0,0,Business Banking
R152,Client 152,Transportation & Logistics,6,1.0,1.0,1.0,0,Business Banking
R153,Client 153,Technology,8,1.0,1.0,1.0,0,Business Banking
R154,Client 154,Commercial Real Estate,3,1.0,1.0,1.0,0,Business Banking
R155,Client 155,Education,7,1.0,1.0,1.0,0,Business Banking
R156,Client 156,Wholesale Trade,6,1.0,1.0,1.0,0,Business Banking
R157,Client 157,Industrial Manufacturing,3,1.0,1.0,1.0,0,Business Banking
R158,Client 158,Transportation & Logistics,5,1.0,1.0,1.0,0,Business Banking
R159,Client 159,Construction,6,1.0,1.0,1.0,0,Business Banking
R160,Client 160,Industrial Manufacturing,2,1.0,1.0,1.0,0,Middle Market
R161,Client 161,Wholesale Trade,5,1.0,1.0,1.0,0,Business Banking
R162,Client 162,Technology,7,1.0,1.0,1.0,0,Business Banking
R163,Client 163,Education,4,1.0,1.0,1.0,0,Middle Market
R164,Client 164,Technology,5,1.0,1.0,1.0,0,Middle Market
R165,Client 165,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R166,Client 166,Retail,4,1.0,1.0,1.0,0,Business Banking
R167,Client 167,Healthcare,8,1.0,1.0,1.0,0,Business Banking
R168,Client 168,Energy,6,1.0,1.0,1.0,0,Middle Market
R169,Client 169,Energy,3,1.0,1.0,1.0,0,Middle Market
R170,Client 170,Construction,9,1.0,1.0,1.0,0,Business Banking
R171,Client 171,Education,7,1.0,1.0,1.0,0,Business Banking
R172,Client 172,Retail,4,1.0,1.0,1.0,0,Middle Market
R173,Client 173,Commercial Real Estate,7,1.0,1.0,1.0,0,Middle Market
R174,Client 174,Commercial Real Estate,3,1.0,1.0,1.0,0,Middle Market
R175,Client 175,Food Distribution,9,1.0,1.0,1.0,0,Business Banking
R176,Client 176,Construction,6,1.0,1.0,1.0,0,Business Banking
R177,Client 177,Technology,6,1.0,1.0,1.0,0,Middle Market
R178,Client 178,Transportation & Logistics,3,1.0,1.0,1.0,0,Middle Market
R179,Client 179,Commercial Real Estate,7,1.0,1.0,1.0,0,Business Banking
R180,Client 180,Industrial Manufacturing,2,1.0,1.0,1.0,0,Business Banking
R181,Client 181,Healthcare,4,1.0,1.0,1.0,0,Business Banking
R182,Client 182,Healthcare,4,1.0,1.0,1.0,0,Business Banking
R183,Client 183,Construction,6,1.0,1.0,1.0,0,Middle Market
R184,Client 184,Professional Services,4,1.0,1.0,1.0,0,Middle Market
R185,Client 185,Professional Services,8,1.0,1.0,1.0,0,Middle Market
R186,Client 186,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R187,Client 187,Professional Services,2,1.0,1.0,1.0,0,Business Banking
R188,Client 188,Healthcare,2,1.0,1.0,1.0,0,Business Banking
R189,Client 189,Wholesale Trade,3,1.0,1.0,1.0,0,Business Banking
R190,Client 190,Energy,6,1.0,1.0,1.0,0,Business Banking
R191,Client 191,Education,7,1.0,1.0,1.0,0,Business Banking
R192,Client 192,Healthcare,4,1.0,1.0,1.0,0,Middle Market
R193,Client 193,Food Distribution,7,1.0,1.0,1.0,0,Middle Market
R194,Client 194,Professional Services,3,1.0,1.0,1.0,0,Business Banking
R195,Client 195,Food Distribution,7,1.0,1.0,1.0,0,Business Banking
R196,Client 196,Food Distribution,8,1.0,1.0,1.0,0,Middle Market
R197,Client 197,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R198,Client 198,Commercial Real Estate,6,1.0,1.0,1.0,0,Business Banking
R199,Client 199,Transportation & Logistics,7,1.0,1.0,1.0,0,Business Banking
R200,Client 200,Technology,3,1.0,1.0,1.0,0,Middle Market
R201,Client 201,Professional Services,4,1.0,1.0,1.0,0,Middle Market
R202,Client 202,Retail,3,1.0,1.0,1.0,0,Middle Market
R203,Client 203,Retail,5,1.0,1.0,1.0,0,Business Banking
R204,Client 204,Commercial Real Estate,6,1.0,1.0,1.0,0,Business Banking
R205,Client 205,Education,6,1.0,1.0,1.0,0,Business Banking
R206,Client 206,Healthcare,7,1.0,1.0,1.0,0,Middle Market
R207,Client 207,Commercial Real Estate,4,1.0,1.0,1.0,0,Business Banking
R208,Client 208,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R209,Client 209,Commercial Real Estate,4,1.0,1.0,1.0,0,Business Banking
R210,Client 210,Education,4,1.0,1.0,1.0,0,Business Banking
R211,Client 211,Commercial Real Estate,6,1.0,1.0,1.0,0,Middle Market
R212,Client 212,Wholesale Trade,9,1.0,1.0,1.0,0,Business Banking
R213,Client 213,Food Distribution,6,1.0,1.0,1.0,0,Middle Market
R214,Client 214,Professional Services,3,1.0,1.0,1.0,0,Business Banking
R215,Client 215,Food Distribution,6,1.0,1.0,1.0,0,Middle Market
R216,Client 216,Technology,3,1.0,1.0,1.0,0,Middle Market
R217,Client 217,Construction,7,1.0,1.0,1.0,0,Business Banking
R218,Client 218,Education,6,1.0,1.0,1.0,0,Middle Market
R219,Client 219,Technology,4,1.0,1.0,1.0,0,Business Banking
R220,Client 220,Construction,3,1.0,1.0,1.0,0,Business Banking
R221,Client 221,Technology,4,1.0,1.0,1.0,0,Middle Market
R222,Client 222,Professional Services,9,1.0,1.0,1.0,0,Business Banking
R223,Client 223,Construction,5,1.0,1.0,1.0,0,Business Banking
R224,Client 224,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R225,Client 225,Professional Services,6,1.0,1.0,1.0,0,Business Banking
R226,Client 226,Technology,5,1.0,1.0,1.0,0,Business Banking
R227,Client 227,Industrial Manufacturing,4,1.0,1.0,1.0,0,Middle Market
R228,Client 228,Healthcare,8,1.0,1.0,1.0,0,Middle Market
R229,Client 229,Food Distribution,4,1.0,1.0,1.0,0,Middle Market
R230,Client 230,Wholesale Trade,5,1.0,1.0,1.0,0,Business Banking
R231,Client 231,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R232,Client 232,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R233,Client 233,Professional Services,8,1.0,1.0,1.0,0,Business Banking
R234,Client 234,Transportation & Logistics,4,1.0,1.0,1.0,0,Business Banking
R235,Client 235,Professional Services,5,1.0,1.0,1.0,0,Business Banking
R236,Client 236,Technology,5,1.0,1.0,1.0,0,Business Banking
R237,Client 237,Construction,5,1.0,1.0,1.0,0,Business Banking
R238,Client 238,Energy,3,1.0,1.0,1.0,0,Middle Market
R239,Client 239,Energy,3,1.0,1.0,1.0,0,Middle Market
R240,Client 240,Transportation & Logistics,4,1.0,1.0,1.0,0,Business Banking
R241,Client 241,Food Distribution,4,1.0,1.0,1.0,0,Business Banking
R242,Client 242,Wholesale Trade,5,1.0,1.0,1.0,0,Business Banking
R243,Client 243,Industrial Manufacturing,6,1.0,1.0,1.0,0,Middle Market
R244,Client 244,Construction,6,1.0,1.0,1.0,0,Business Banking
R245,Client 245,Food Distribution,5,1.0,1.0,1.0,0,Middle Market
R246,Client 246,Professional Services,5,1.0,1.0,1.0,0,Middle Market
R247,Client 247,Retail,4,1.0,1.0,1.0,0,Middle Market
R248,Client 248,Food Distribution,5,1.0,1.0,1.0,0,Middle Market
R249,Client 249,Technology,4,1.0,1.0,1.0,0,Business Banking
R250,Client 250,Retail,2,1.0,1.0,1.0,0,Business Banking
R251,Client 251,Healthcare,5,1.0,1.0,1.0,0,Business Banking
R252,Client 252,Retail,5,1.0,1.0,1.0,0,Business Banking
R253,Client 253,Healthcare,4,1.0,1.0,1.0,0,Business Banking
R254,Client 254,Retail,5,1.0,1.0,1.0,0,Business Banking
R255,Client 255,Retail,5,1.0,1.0,1.0,0,Middle Market
R256,Client 256,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R257,Client 257,Construction,6,1.0,1.0,1.0,0,Business Banking
R258,Client 258,Commercial Real Estate,6,1.0,1.0,1.0,0,Business Banking
R259,Client 259,Construction,4,1.0,1.0,1.0,0,Business Banking
R260,Client 260,Industrial Manufacturing,6,1.0,1.0,1.0,0,Middle Market
R261,Client 261,Transportation & Logistics,5,1.0,1.0,1.0,0,Business Banking
R262,Client 262,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R263,Client 263,Transportation & Logistics,6,1.0,1.0,1.0,0,Middle Market
R264,Client 264,Technology,5,1.0,1.0,1.0,0,Business Banking
R265,Client 265,Retail,5,1.0,1.0,1.0,0,Business Banking
R266,Client 266,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R267,Client 267,Professional Services,7,1.0,1.0,1.0,0,Business Banking
R268,Client 268,Healthcare,8,1.0,1.0,1.0,0,Business Banking
R269,Client 269,Transportation & Logistics,5,1.0,1.0,1.0,0,Middle Market
R270,Client 270,Retail,5,1.0,1.0,1.0,0,Business Banking
R271,Client 271,Construction,7,1.0,1.0,1.0,0,Business Banking
R272,Client 272,Transportation & Logistics,4,1.0,1.0,1.0,0,Business Banking
R273,Client 273,Technology,7,1.0,1.0,1.0,0,Middle Market
R274,Client 274,Education,5,1.0,1.0,1.0,0,Business Banking
R275,Client 275,Education,3,1.0,1.0,1.0,0,Middle Market
R276,Client 276,Energy,3,1.0,1.0,1.0,0,Middle Market
R277,Client 277,Food Distribution,7,1.0,1.0,1.0,0,Business Banking
R278,Client 278,Commercial Real Estate,3,1.0,1.0,1.0,0,Middle Market
R279,Client 279,Retail,4,1.0,1.0,1.0,0,Middle Market
R280,Client 280,Retail,4,1.0,1.0,1.0,0,Business Banking
R281,Client 281,Technology,4,1.0,1.0,1.0,0,Business Banking
R282,Client 282,Industrial Manufacturing,4,1.0,1.0,1.0,0,Business Banking
R283,Client 283,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R284,Client 284,Education,2,1.0,1.0,1.0,0,Business Banking
R285,Client 285,Food Distribution,7,1.0,1.0,1.0,0,Business Banking
R286,Client 286,Food Distribution,7,1.0,1.0,1.0,0,Business Banking
R287,Client 287,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R288,Client 288,Construction,4,1.0,1.0,1.0,0,Business Banking
R289,Client 289,Industrial Manufacturing,6,1.0,1.0,1.0,0,Business Banking
R290,Client 290,Industrial Manufacturing,3,1.0,1.0,1.0,0,Business Banking
R291,Client 291,Technology,5,1.0,1.0,1.0,0,Middle Market
R292,Client 292,Food Distribution,8,1.0,1.0,1.0,0,Business Banking
R293,Client 293,Professional Services,9,1.0,1.0,1.0,0,Business Banking
R294,Client 294,Food Distribution,6,1.0,1.0,1.0,0,Middle Market
R295,Client 295,Food Distribution,4,1.0,1.0,1.0,0,Business Banking
R296,Client 296,Education,6,1.0,1.0,1.0,0,Business Banking
R297,Client 297,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R298,Client 298,Energy,5,1.0,1.0,1.0,0,Business Banking
R299,Client 299,Energy,6,1.0,1.0,1.0,0,Business Banking
R300,Client 300,Food Distribution,2,1.0,1.0,1.0,0,Business Banking
R301,Client 301,Construction,4,1.0,1.0,1.0,0,Business Banking
R302,Client 302,Technology,5,1.0,1.0,1.0,0,Business Banking
R303,Client 303,Education,4,1.0,1.0,1.0,0,Business Banking
R304,Client 304,Technology,4,1.0,1.0,1.0,0,Business Banking
R305,Client 305,Energy,7,1.0,1.0,1.0,0,Business Banking
R306,Client 306,Energy,9,1.0,1.0,1.0,0,Business Banking
R307,Client 307,Wholesale Trade,5,1.0,1.0,1.0,0,Business Banking
R308,Client 308,Food Distribution,7,1.0,1.0,1.0,0,Business Banking
R309,Client 309,Technology,9,1.0,1.0,1.0,0,Business Banking
R310,Client 310,Industrial Manufacturing,4,1.0,1.0,1.0,0,Business Banking
R311,Client 311,Commercial Real Estate,5,1.0,1.0,1.0,0,Business Banking
R312,Client 312,Construction,5,1.0,1.0,1.0,0,Business Banking
R313,Client 313,Industrial Manufacturing,3,1.0,1.0,1.0,0,Business Banking
R314,Client 314,Wholesale Trade,6,1.0,1.0,1.0,0,Business Banking
R315,Client 315,Energy,5,1.0,1.0,1.0,0,Middle Market
R316,Client 316,Healthcare,5,1.0,1.0,1.0,0,Middle Market
R317,Client 317,Technology,4,1.0,1.0,1.0,0,Business Banking
R318,Client 318,Energy,4,1.0,1.0,1.0,0,Business Banking
R319,Client 319,Technology,7,1.0,1.0,1.0,0,Business Banking
R320,Client 320,Healthcare,3,1.0,1.0,1.0,0,Middle Market
R321,Client 321,Retail,4,1.0,1.0,1.0,0,Business Banking
R322,Client 322,Professional Services,4,1.0,1.0,1.0,0,Middle Market
R323,Client 323,Healthcare,5,1.0,1.0,1.0,0,Business Banking
R324,Client 324,Technology,5,1.0,1.0,1.0,0,Business Banking
R325,Client 325,Transportation & Logistics,5,1.0,1.0,1.0,0,Middle Market
R326,Client 326,Retail,3,1.0,1.0,1.0,0,Business Banking
R327,Client 327,Professional Services,4,1.0,1.0,1.0,0,Middle Market
R328,Client 328,Professional Services,7,1.0,1.0,1.0,0,Middle Market
R329,Client 329,Education,6,1.0,1.0,1.0,0,Middle Market
R330,Client 330,Construction,6,1.0,1.0,1.0,0,Middle Market
R331,Client 331,Technology,6,1.0,1.0,1.0,0,Business Banking
R332,Client 332,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R333,Client 333,Retail,3,1.0,1.0,1.0,0,Middle Market
R334,Client 334,Wholesale Trade,5,1.0,1.0,1.0,0,Business Banking
R335,Client 335,Education,5,1.0,1.0,1.0,0,Business Banking
R336,Client 336,Transportation & Logistics,4,1.0,1.0,1.0,0,Business Banking
R337,Client 337,Transportation & Logistics,7,1.0,1.0,1.0,0,Business Banking
R338,Client 338,Industrial Manufacturing,5,1.0,1.0,1.0,0,Middle Market
R339,Client 339,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R340,Client 340,Energy,7,1.0,1.0,1.0,0,Business Banking
R341,Client 341,Energy,5,1.0,1.0,1.0,0,Business Banking
R342,Client 342,Commercial Real Estate,7,1.0,1.0,1.0,0,Business Banking
R343,Client 343,Technology,5,1.0,1.0,1.0,0,Business Banking
R344,Client 344,Construction,7,1.0,1.0,1.0,0,Middle Market
R345,Client 345,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R346,Client 346,Construction,5,1.0,1.0,1.0,0,Business Banking
R347,Client 347,Education,5,1.0,1.0,1.0,0,Business Banking
R348,Client 348,Technology,3,1.0,1.0,1.0,0,Business Banking
R349,Client 349,Transportation & Logistics,5,1.0,1.0,1.0,0,Business Banking
R350,Client 350,Education,8,1.0,1.0,1.0,0,Business Banking
R351,Client 351,Retail,6,1.0,1.0,1.0,0,Business Banking
R352,Client 352,Technology,4,1.0,1.0,1.0,0,Business Banking
R353,Client 353,Retail,4,1.0,1.0,1.0,0,Business Banking
R354,Client 354,Energy,4,1.0,1.0,1.0,0,Business Banking
R355,Client 355,Wholesale Trade,2,1.0,1.0,1.0,0,Business Banking
R356,Client 356,Technology,8,1.0,1.0,1.0,0,Middle Market
R357,Client 357,Education,5,1.0,1.0,1.0,0,Business Banking
R358,Client 358,Education,4,1.0,1.0,1.0,0,Business Banking
R359,Client 359,Transportation & Logistics,6,1.0,1.0,1.0,0,Business Banking
R360,Client 360,Healthcare,2,1.0,1.0,1.0,0,Business Banking
R361,Client 361,Energy,4,1.0,1.0,1.0,0,Business Banking
R362,Client 362,Industrial Manufacturing,6,1.0,1.0,1.0,0,Business Banking
R363,Client 363,Technology,6,1.0,1.0,1.0,0,Business Banking
R364,Client 364,Food Distribution,9,1.0,1.0,1.0,0,Business Banking
R365,Client 365,Education,6,1.0,1.0,1.0,0,Business Banking
R366,Client 366,Education,5,1.0,1.0,1.0,0,Middle Market
R367,Client 367,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R368,Client 368,Wholesale Trade,7,1.0,1.0,1.0,0,Middle Market
R369,Client 369,Healthcare,6,1.0,1.0,1.0,0,Middle Market
R370,Client 370,Professional Services,8,1.0,1.0,1.0,0,Business Banking
R371,Client 371,Wholesale Trade,6,1.0,1.0,1.0,0,Business Banking
R372,Client 372,Wholesale Trade,7,1.0,1.0,1.0,0,Middle Market
R373,Client 373,Transportation & Logistics,3,1.0,1.0,1.0,0,Business Banking
R374,Client 374,Wholesale Trade,6,1.0,1.0,1.0,0,Business Banking
R375,Client 375,Healthcare,5,1.0,1.0,1.0,0,Middle Market
R376,Client 376,Energy,5,1.0,1.0,1.0,0,Middle Market
R377,Client 377,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R378,Client 378,Technology,8,1.0,1.0,1.0,0,Business Banking
R379,Client 379,Industrial Manufacturing,9,1.0,1.0,1.0,0,Business Banking
R380,Client 380,Construction,4,1.0,1.0,1.0,0,Middle Market
R381,Client 381,Commercial Real Estate,6,1.0,1.0,1.0,0,Business Banking
R382,Client 382,Retail,6,1.0,1.0,1.0,0,Middle Market
