account_id,relationship_id,product,sub_type,commitment,utilization,balance,tenor_yrs,rate_type,spread,unused_fee,orig_fee_pct,rating,collateral,remaining_yrs
RV00030,R171,Revolver,ABL Revolver,1184000.0,0.419,496600.0,3.0,Floating,0.0255,0.0035,0.005,7,Senior Secured,2.03
RV00031,R142,Revolver,ABL Revolver,578000.0,0.172,99300.0,3.0,Floating,0.0287,0.0035,0.0025,8,Senior Secured,1.72
RV00032,R332,Revolver,Working Capital Line,732000.0,0.799,584900.0,3.0,Floating,0.0186,0.0035,0.0025,5,Senior Secured,1.22
RV00033,R144,Revolver,Working Capital Line,7544000.0,0.672,5069900.0,3.0,Floating,0.0182,0.002,0.001,4,Senior Secured,2.86
RV00034,R470,Revolver,Working Capital Line,3148000.0,0.631,1987100.0,3.0,Floating,0.0193,0.002,0.001,5,Unsecured,1.36
RV00035,R495,Revolver,Corporate RCF,880000.0,0.713,627700.0,1.0,Floating,0.0179,0.0035,0.001,5,Senior Secured,0.24
RV00036,R439,Revolver,ABL Revolver,2192000.0,0.152,334200.0,3.0,Floating,0.0246,0.0015,0.0025,6,Unsecured,0.74
RV00037,R223,Revolver,Working Capital Line,1876000.0,0.583,1094100.0,2.0,Floating,0.0238,0.0015,0.001,5,Senior Secured,0.72
RV00038,R287,Revolver,Working Capital Line,4795000.0,0.661,3171300.0,1.0,Floating,0.0208,0.0035,0.001,5,Unsecured,0.29
RV00039,R288,Revolver,Working Capital Line,4382000.0,0.352,1540800.0,5.0,Floating,0.0177,0.0035,0.005,4,Unsecured,2.58
RV00040,R190,Revolver,Working Capital Line,431000.0,0.531,229000.0,1.0,Floating,0.0233,0.002,0.001,6,Senior Secured,0.26
RV00041,R060,Revolver,Working Capital Line,2777000.0,0.232,643700.0,5.0,Floating,0.0281,0.0035,0.001,8,Senior Secured,3.24
RV00042,R132,Revolver,Working Capital Line,929000.0,0.562,521900.0,1.0,Floating,0.0286,0.002,0.005,7,Senior Secured,0.53
RV00043,R358,Revolver,Working Capital Line,2256000.0,0.766,1727600.0,3.0,Floating,0.0181,0.0025,0.0025,4,Unsecured,2.04
RV00044,R049,Revolver,ABL Revolver,1792000.0,0.303,542800.0,1.0,Floating,0.0107,0.0035,0.001,3,Senior Secured,0.99
RV00045,R355,Revolver,Working Capital Line,283000.0,0.184,52200.0,5.0,Floating,0.0175,0.002,0.0025,3,Unsecured,4.97
RV00046,R463,Revolver,Corporate RCF,1446000.0,0.179,259100.0,5.0,Floating,0.0254,0.0035,0.001,6,Unsecured,2.67
RV00047,R055,Revolver,Working Capital Line,2179000.0,0.465,1012700.0,1.0,Floating,0.0163,0.0035,0.001,3,Senior Secured,0.49
RV00048,R444,Revolver,Working Capital Line,865000.0,0.25,216700.0,1.0,Floating,0.0075,0.0025,0.005,2,Unsecured,0.75
RV00049,R298,Revolver,Working Capital Line,706000.0,0.422,298200.0,3.0,Floating,0.0207,0.0015,0.005,5,Unsecured,1.48
RV00050,R361,Revolver,Working Capital Line,214000.0,0.202,43200.0,1.0,Floating,0.0197,0.0035,0.0025,4,Unsecured,0.82
RV00051,R322,Revolver,ABL Revolver,4892000.0,0.605,2958400.0,1.0,Floating,0.0215,0.002,0.0025,5,Senior Secured,0.68
RV00052,R337,Revolver,Working Capital Line,1063000.0,0.37,393000.0,5.0,Floating,0.0267,0.002,0.0025,7,Senior Secured,1.8
RV00053,R496,Revolver,Working Capital Line,1153000.0,0.432,497700.0,3.0,Floating,0.0197,0.002,0.0025,4,Senior Secured,1.6
RV00054,R005,Revolver,ABL Revolver,5478000.0,0.073,402000.0,1.0,Floating,0.0182,0.002,0.005,5,Senior Secured,0.89
RV00055,R055,Revolver,ABL Revolver,1013000.0,0.311,314700.0,2.0,Floating,0.0203,0.002,0.0025,4,Senior Secured,1.29
RV00056,R002,Revolver,ABL Revolver,4442000.0,0.516,2291600.0,1.0,Floating,0.0148,0.0025,0.001,4,Unsecured,0.77
RV00057,R334,Revolver,Working Capital Line,883000.0,0.285,251700.0,5.0,Floating,0.0237,0.0015,0.005,6,Senior Secured,3.84
RV00058,R370,Revolver,ABL Revolver,182000.0,0.32,58300.0,1.0,Floating,0.0309,0.0025,0.0025,8,Senior Secured,0.59
RV00059,R462,Revolver,Corporate RCF,2969000.0,0.145,429300.0,2.0,Floating,0.0227,0.002,0.005,6,Senior Secured,0.87
RV00060,R286,Revolver,Corporate RCF,894000.0,0.487,435500.0,1.0,Floating,0.0213,0.0035,0.005,6,Unsecured,0.68
RV00061,R444,Revolver,Corporate RCF,328000.0,0.314,103000.0,5.0,Floating,0.0179,0.0035,0.001,4,Senior Secured,1.45
RV00062,R195,Revolver,ABL Revolver,96000.0,0.121,11600.0,1.0,Floating,0.0275,0.002,0.0025,7,Senior Secured,0.68
RV00063,R256,Revolver,Working Capital Line,2225000.0,0.36,801400.0,3.0,Floating,0.0282,0.0035,0.005,7,Senior Secured,0.85
RV00064,R317,Revolver,Corporate RCF,1456000.0,0.508,739000.0,2.0,Floating,0.0226,0.002,0.0025,5,Senior Secured,1.84
RV00065,R065,Revolver,Working Capital Line,1065000.0,0.342,364600.0,5.0,Floating,0.0234,0.0035,0.005,6,Senior Secured,3.98
RV00066,R086,Revolver,Working Capital Line,5752000.0,0.325,1868400.0,1.0,Floating,0.026,0.0025,0.0025,7,Senior Secured,0.34
RV00067,R014,Revolver,Corporate RCF,1913000.0,0.437,836200.0,5.0,Floating,0.0167,0.0025,0.005,4,Senior Secured,4.14
RV00068,R030,Revolver,Working Capital Line,1050000.0,0.269,282800.0,5.0,Floating,0.0324,0.0015,0.005,9,Senior Secured,3.9
RV00069,R191,Revolver,Working Capital Line,701000.0,0.417,292200.0,1.0,Floating,0.023,0.0025,0.005,7,Senior Secured,0.78
RV00070,R328,Revolver,Corporate RCF,1816000.0,0.625,1135600.0,1.0,Floating,0.0263,0.0035,0.001,7,Unsecured,0.47
RV00071,R069,Revolver,Corporate RCF,3862000.0,0.487,1879200.0,5.0,Floating,0.0292,0.0025,0.005,6,Senior Secured,3.09
RV00072,R202,Revolver,Working Capital Line,9296000.0,0.281,2608000.0,2.0,Floating,0.0121,0.0015,0.005,3,Unsecured,1.34
RV00073,R146,Revolver,ABL Revolver,803000.0,0.366,294000.0,5.0,Floating,0.0238,0.0025,0.0025,6,Senior Secured,2.51
RV00074,R109,Revolver,Working Capital Line,3328000.0,0.318,1057200.0,5.0,Floating,0.0243,0.0025,0.001,6,Senior Secured,3.24
RV00075,R103,Revolver,Working Capital Line,3699000.0,0.412,1523500.0,2.0,Floating,0.0273,0.0035,0.001,7,Unsecured,0.79
RV00076,R308,Revolver,Working Capital Line,1241000.0,0.137,169800.0,1.0,Floating,0.0216,0.0035,0.0025,6,Senior Secured,0.9
RV00077,R481,Revolver,Working Capital Line,23032000.0,0.213,4901100.0,2.0,Floating,0.0189,0.0015,0.005,4,Senior Secured,1.94
RV00078,R481,Revolver,Working Capital Line,11701000.0,0.31,3625900.0,3.0,Floating,0.014,0.002,0.005,3,Senior Secured,1.38
RV00079,R292,Revolver,Working Capital Line,3992000.0,0.689,2751800.0,2.0,Floating,0.0234,0.0035,0.005,7,Unsecured,0.95
RV00080,R170,Revolver,Corporate RCF,430000.0,0.277,119000.0,3.0,Floating,0.0366,0.0015,0.005,10,Senior Secured,1.12
RV00081,R474,Revolver,Corporate RCF,19015000.0,0.688,13081300.0,3.0,Floating,0.022,0.0035,0.001,5,Senior Secured,2.68
RV00082,R178,Revolver,Working Capital Line,2455000.0,0.415,1017900.0,5.0,Floating,0.0132,0.0015,0.005,3,Senior Secured,1.65
RV00083,R139,Revolver,Working Capital Line,718000.0,0.156,111800.0,1.0,Floating,0.0168,0.002,0.0025,4,Senior Secured,0.84
RV00084,R320,Revolver,Working Capital Line,379000.0,0.395,149900.0,2.0,Floating,0.0111,0.0015,0.001,2,Senior Secured,1.73
RV00085,R495,Revolver,Working Capital Line,3546000.0,0.477,1691200.0,1.0,Floating,0.0146,0.0035,0.001,4,Unsecured,0.45
RV00086,R007,Revolver,ABL Revolver,2770000.0,0.434,1203200.0,1.0,Floating,0.0287,0.0025,0.001,8,Unsecured,0.82
RV00087,R087,Revolver,Working Capital Line,3818000.0,0.293,1117000.0,2.0,Floating,0.0195,0.0035,0.001,4,Unsecured,1.12
RV00088,R445,Revolver,Working Capital Line,929000.0,0.279,259400.0,5.0,Floating,0.02,0.0015,0.001,5,Senior Secured,2.39
RV00089,R436,Revolver,Working Capital Line,13333000.0,0.361,4812300.0,2.0,Floating,0.0122,0.0015,0.0025,2,Senior Secured,1.83
RV00090,R365,Revolver,Corporate RCF,1448000.0,0.073,106300.0,1.0,Floating,0.0265,0.0025,0.0025,7,Senior Secured,0.56
RV00091,R403,Revolver,Corporate RCF,6859000.0,0.187,1283200.0,3.0,Floating,0.0212,0.0015,0.001,5,Senior Secured,0.73
RV00092,R339,Revolver,Corporate RCF,351000.0,0.637,223600.0,3.0,Floating,0.0208,0.0025,0.005,6,Senior Secured,2.12
RV00093,R050,Revolver,Corporate RCF,10660000.0,0.332,3534400.0,2.0,Floating,0.0245,0.0025,0.005,6,Senior Secured,1.45
RV00094,R173,Revolver,Working Capital Line,522000.0,0.465,242800.0,1.0,Floating,0.0239,0.002,0.0025,7,Senior Secured,0.71
RV00095,R444,Revolver,Corporate RCF,1063000.0,0.376,399500.0,2.0,Floating,0.0165,0.0035,0.001,3,Unsecured,0.98
RV00096,R121,Revolver,Corporate RCF,499000.0,0.08,39800.0,1.0,Floating,0.0186,0.0015,0.001,5,Unsecured,0.74
RV00097,R099,Revolver,Working Capital Line,589000.0,0.273,160700.0,2.0,Floating,0.0237,0.0015,0.0025,7,Unsecured,0.87
RV00098,R457,Revolver,ABL Revolver,1661000.0,0.588,977300.0,1.0,Floating,0.0262,0.0015,0.0025,7,Senior Secured,0.57
RV00099,R361,Revolver,ABL Revolver,387000.0,0.09,34600.0,3.0,Floating,0.0178,0.002,0.0025,4,Unsecured,1.12
RV00100,R248,Revolver,Working Capital Line,851000.0,0.87,740500.0,5.0,Floating,0.0209,0.002,0.005,5,Senior Secured,3.45
RV00101,R026,Revolver,Working Capital Line,1776000.0,0.51,906300.0,1.0,Floating,0.0189,0.0025,0.005,5,Senior Secured,0.85
RV00102,R271,Revolver,Working Capital Line,978000.0,0.439,429300.0,1.0,Floating,0.0267,0.0015,0.0025,7,Senior Secured,0.28
RV00103,R085,Revolver,Corporate RCF,2512000.0,0.481,1207400.0,5.0,Floating,0.0325,0.002,0.001,9,Senior Secured,1.11
RV00104,R142,Revolver,Corporate RCF,1150000.0,0.363,417900.0,3.0,Floating,0.0286,0.0035,0.005,7,Senior Secured,2.43
RV00105,R065,Revolver,ABL Revolver,2518000.0,0.661,1665600.0,3.0,Floating,0.0239,0.0015,0.001,6,Unsecured,1.37
RV00106,R469,Revolver,ABL Revolver,233000.0,0.527,122700.0,5.0,Floating,0.0251,0.0035,0.0025,7,Senior Secured,2.3
RV00107,R361,Revolver,Working Capital Line,597000.0,0.079,47200.0,3.0,Floating,0.0152,0.0015,0.005,4,Unsecured,1.96
RV00108,R237,Revolver,Working Capital Line,1671000.0,0.318,531800.0,3.0,Floating,0.0176,0.0035,0.005,5,Senior Secured,1.77
RV00109,R441,Revolver,Corporate RCF,1200000.0,0.346,415700.0,2.0,Floating,0.0213,0.0035,0.005,5,Unsecured,0.59
RV00110,R266,Revolver,Corporate RCF,406000.0,0.306,124100.0,5.0,Floating,0.0223,0.002,0.001,5,Unsecured,4.04
RV00111,R357,Revolver,Working Capital Line,2043000.0,0.61,1245500.0,3.0,Floating,0.0189,0.0015,0.0025,5,Senior Secured,1.02
RV00112,R338,Revolver,Working Capital Line,1639000.0,0.202,331100.0,1.0,Floating,0.024,0.002,0.0025,6,Unsecured,0.86
RV00113,R388,Revolver,Corporate RCF,438000.0,0.202,88500.0,3.0,Floating,0.0316,0.0025,0.0025,9,Unsecured,2.43
RV00114,R233,Revolver,Corporate RCF,1366000.0,0.65,887700.0,1.0,Floating,0.0277,0.002,0.005,7,Senior Secured,0.33
RV00115,R166,Revolver,Working Capital Line,886000.0,0.226,200600.0,3.0,Floating,0.0196,0.0025,0.005,4,Unsecured,2.42
RV00116,R364,Revolver,Corporate RCF,550000.0,0.359,197200.0,1.0,Floating,0.0302,0.0035,0.0025,10,Unsecured,0.73
RV00117,R112,Revolver,Working Capital Line,534000.0,0.149,79700.0,3.0,Floating,0.0312,0.0035,0.001,8,Senior Secured,2.96
RV00118,R364,Revolver,ABL Revolver,337000.0,0.48,161800.0,2.0,Floating,0.0296,0.002,0.005,8,Senior Secured,1.54
RV00119,R002,Revolver,Working Capital Line,5144000.0,0.459,2361200.0,3.0,Floating,0.0127,0.0035,0.001,3,Senior Secured,1.54
RV00120,R237,Revolver,Corporate RCF,2372000.0,0.221,525300.0,3.0,Floating,0.0225,0.0015,0.0025,6,Senior Secured,2.09
RV00121,R121,Revolver,Corporate RCF,1098000.0,0.277,304100.0,1.0,Floating,0.0208,0.0035,0.005,5,Unsecured,0.73
RV00122,R213,Revolver,ABL Revolver,6265000.0,0.271,1700700.0,2.0,Floating,0.0225,0.0015,0.005,6,Unsecured,1.59
RV00123,R017,Revolver,Working Capital Line,4207000.0,0.276,1163100.0,2.0,Floating,0.0244,0.0025,0.005,7,Unsecured,1.15
RV00124,R468,Revolver,Working Capital Line,508000.0,0.501,254400.0,3.0,Floating,0.0165,0.0025,0.005,4,Senior Secured,2.59
RV00125,R188,Revolver,Corporate RCF,200000.0,0.166,33300.0,5.0,Floating,0.0102,0.0015,0.001,2,Senior Secured,2.15
RV00126,R142,Revolver,Working Capital Line,383000.0,0.405,155200.0,2.0,Floating,0.0318,0.002,0.001,8,Senior Secured,1.94
RV00127,R185,Revolver,ABL Revolver,1445000.0,0.044,63000.0,3.0,Floating,0.0292,0.002,0.005,8,Senior Secured,1.35
RV00128,R354,Revolver,Corporate RCF,449000.0,0.508,228200.0,5.0,Floating,0.0224,0.0035,0.0025,4,Unsecured,1.15
RV00129,R079,Revolver,Working Capital Line,2131000.0,0.375,798600.0,3.0,Floating,0.0214,0.002,0.001,5,Senior Secured,1.08
RV00130,R348,Revolver,Corporate RCF,2111000.0,0.108,228200.0,2.0,Floating,0.0163,0.0015,0.0025,3,Senior Secured,1.88
RV00131,R138,Revolver,Corporate RCF,6452000.0,0.324,2092400.0,2.0,Floating,0.0158,0.0015,0.005,4,Senior Secured,1.66
RV00132,R264,Revolver,ABL Revolver,443000.0,0.28,124000.0,5.0,Floating,0.0203,0.0015,0.0025,5,Unsecured,2.76
RV00133,R007,Revolver,Corporate RCF,30927000.0,0.391,12086900.0,2.0,Floating,0.0239,0.0015,0.0025,7,Senior Secured,1.85
RV00134,R382,Revolver,Working Capital Line,11072000.0,0.039,435000.0,1.0,Floating,0.0222,0.002,0.0025,6,Senior Secured,0.4
RV00135,R265,Revolver,Corporate RCF,715000.0,0.605,432200.0,3.0,Floating,0.0198,0.002,0.0025,5,Senior Secured,1.16
RV00136,R183,Revolver,ABL Revolver,4049000.0,0.252,1019600.0,1.0,Floating,0.0271,0.0015,0.005,7,Senior Secured,0.3
RV00137,R175,Revolver,Corporate RCF,2692000.0,0.107,289200.0,3.0,Floating,0.0328,0.002,0.005,9,Senior Secured,1.66
RV00138,R005,Revolver,Working Capital Line,6965000.0,0.276,1924200.0,5.0,Floating,0.0153,0.002,0.0025,5,Unsecured,3.06
RV00139,R053,Revolver,ABL Revolver,2339000.0,0.279,652200.0,5.0,Floating,0.0213,0.0025,0.005,5,Senior Secured,1.58
RV00140,R003,Revolver,Corporate RCF,4176000.0,0.217,906600.0,3.0,Floating,0.0196,0.002,0.005,5,Senior Secured,0.88
RV00141,R111,Revolver,Working Capital Line,105000.0,0.198,20800.0,5.0,Floating,0.0223,0.0035,0.001,6,Unsecured,2.56
RV00142,R238,Revolver,ABL Revolver,2817000.0,0.083,234600.0,5.0,Floating,0.0109,0.002,0.005,2,Unsecured,1.93
RV00143,R379,Revolver,Corporate RCF,465000.0,0.423,196800.0,5.0,Floating,0.03,0.002,0.005,8,Unsecured,3.3
RV00144,R028,Revolver,Working Capital Line,1004000.0,0.099,99100.0,5.0,Floating,0.0128,0.002,0.005,4,Senior Secured,3.1
RV00145,R273,Revolver,Working Capital Line,3866000.0,0.297,1147500.0,5.0,Floating,0.0263,0.0015,0.005,7,Unsecured,1.65
RV00146,R190,Revolver,Corporate RCF,239000.0,0.575,137400.0,1.0,Floating,0.0268,0.0025,0.005,6,Unsecured,0.21
RV00147,R439,Revolver,Working Capital Line,5462000.0,0.238,1299200.0,1.0,Floating,0.0155,0.0025,0.0025,5,Senior Secured,0.72
RV00148,R496,Revolver,ABL Revolver,4086000.0,0.433,1767700.0,1.0,Floating,0.0195,0.002,0.001,4,Senior Secured,0.82
RV00149,R361,Revolver,Working Capital Line,615000.0,0.254,156400.0,3.0,Floating,0.019,0.002,0.001,4,Senior Secured,1.77
RV00150,R011,Revolver,Working Capital Line,833000.0,0.471,392500.0,5.0,Floating,0.0234,0.0025,0.001,7,Unsecured,3.3
RV00151,R003,Revolver,ABL Revolver,2516000.0,0.45,1131900.0,5.0,Floating,0.0192,0.0035,0.001,5,Senior Secured,4.85
RV00152,R009,Revolver,Working Capital Line,14429000.0,0.494,7127700.0,5.0,Floating,0.0179,0.002,0.0025,4,Unsecured,4.07
RV00153,R080,Revolver,Working Capital Line,3130000.0,0.6,1879100.0,5.0,Floating,0.0211,0.002,0.005,6,Unsecured,2.34
RV00154,R201,Revolver,ABL Revolver,3347000.0,0.179,600000.0,3.0,Floating,0.0193,0.0015,0.005,5,Unsecured,2.64
RV00155,R131,Revolver,Working Capital Line,1385000.0,0.337,466800.0,2.0,Floating,0.0208,0.002,0.0025,5,Senior Secured,1.28
RV00156,R136,Revolver,Corporate RCF,494000.0,0.487,240300.0,3.0,Floating,0.0255,0.0025,0.0025,6,Unsecured,1.85
RV00157,R001,Revolver,Working Capital Line,1872000.0,0.106,197500.0,1.0,Floating,0.0119,0.0025,0.0025,3,Senior Secured,0.75
RV00158,R263,Revolver,ABL Revolver,6258000.0,0.292,1827900.0,3.0,Floating,0.0234,0.0035,0.0025,6,Unsecured,1.63
RV00159,R304,Revolver,Corporate RCF,1638000.0,0.24,393200.0,3.0,Floating,0.0166,0.002,0.0025,4,Senior Secured,2.71
RV00160,R178,Revolver,Working Capital Line,1633000.0,0.766,1250600.0,1.0,Floating,0.0151,0.0035,0.005,3,Senior Secured,0.33
RV00161,R040,Revolver,Corporate RCF,1274000.0,0.846,1077300.0,3.0,Floating,0.0284,0.0025,0.001,7,Senior Secured,1.61
RV00162,R265,Revolver,Corporate RCF,2734000.0,0.164,449200.0,3.0,Floating,0.0181,0.0015,0.0025,4,Unsecured,0.76
RV00163,R245,Revolver,Working Capital Line,7368000.0,0.517,3808500.0,3.0,Floating,0.02,0.0015,0.001,5,Unsecured,2.29
RV00164,R003,Revolver,Working Capital Line,4419000.0,0.27,1192900.0,5.0,Floating,0.0211,0.002,0.005,6,Senior Secured,2.08
RV00165,R008,Revolver,ABL Revolver,1923000.0,0.678,1303400.0,1.0,Floating,0.0227,0.002,0.001,7,Senior Secured,0.54
RV00166,R008,Revolver,ABL Revolver,2244000.0,0.431,967100.0,5.0,Floating,0.0189,0.0015,0.0025,6,Unsecured,4.55
RV00167,R356,Revolver,ABL Revolver,1997000.0,0.403,805400.0,1.0,Floating,0.0315,0.0015,0.001,8,Senior Secured,0.35
RV00168,R014,Revolver,Working Capital Line,3286000.0,0.32,1050600.0,2.0,Floating,0.0268,0.0025,0.0025,6,Senior Secured,0.4
RV00169,R457,Revolver,Working Capital Line,1373000.0,0.234,320700.0,2.0,Floating,0.0199,0.0035,0.005,6,Unsecured,1.32
RV00170,R234,Revolver,Corporate RCF,515000.0,0.38,195400.0,5.0,Floating,0.0191,0.0015,0.005,4,Senior Secured,2.75
RV00171,R378,Revolver,Working Capital Line,506000.0,0.586,296700.0,5.0,Floating,0.028,0.0015,0.001,7,Senior Secured,1.22
RV00172,R400,Revolver,Working Capital Line,546000.0,0.33,180300.0,1.0,Floating,0.0127,0.0025,0.0025,3,Senior Secured,0.44
RV00173,R437,Revolver,ABL Revolver,872000.0,0.512,446600.0,3.0,Floating,0.0226,0.0015,0.001,6,Senior Secured,1.17
RV00174,R330,Revolver,Working Capital Line,835000.0,0.65,542600.0,5.0,Floating,0.0223,0.0035,0.005,6,Unsecured,2.04
RV00175,R430,Revolver,Corporate RCF,2339000.0,0.705,1649500.0,5.0,Floating,0.0273,0.0025,0.0025,6,Senior Secured,4.16
RV00176,R368,Revolver,Working Capital Line,2321000.0,0.385,894400.0,1.0,Floating,0.0296,0.002,0.005,7,Senior Secured,0.44
RV00177,R500,Revolver,Working Capital Line,24618000.0,0.172,4243700.0,1.0,Floating,0.0161,0.0025,0.005,4,Senior Secured,0.59
RV00178,R007,Revolver,Working Capital Line,2554000.0,0.755,1927800.0,2.0,Floating,0.019,0.0015,0.0025,6,Senior Secured,0.82
RV00179,R453,Revolver,Working Capital Line,3686000.0,0.416,1531800.0,5.0,Floating,0.0306,0.002,0.001,8,Senior Secured,4.8
RV00180,R120,Revolver,Corporate RCF,9249000.0,0.284,2630000.0,2.0,Floating,0.0218,0.0025,0.001,5,Senior Secured,1.64
RV00181,R327,Revolver,Working Capital Line,1825000.0,0.227,413400.0,3.0,Floating,0.0232,0.0035,0.001,5,Unsecured,1.62
RV00182,R478,Revolver,Working Capital Line,618000.0,0.074,45700.0,5.0,Floating,0.0242,0.0035,0.001,7,Senior Secured,3.91
RV00183,R182,Revolver,ABL Revolver,385000.0,0.487,187600.0,2.0,Floating,0.0165,0.0025,0.005,3,Unsecured,0.9
RV00184,R153,Revolver,Working Capital Line,389000.0,0.248,96500.0,3.0,Floating,0.0248,0.002,0.005,7,Unsecured,0.8
RV00185,R005,Revolver,Working Capital Line,7340000.0,0.295,2167700.0,5.0,Floating,0.0208,0.0035,0.0025,5,Senior Secured,2.72
RV00186,R008,Revolver,ABL Revolver,7482000.0,0.328,2456100.0,2.0,Floating,0.0181,0.0015,0.0025,5,Unsecured,1.3
RV00187,R158,Revolver,Working Capital Line,208000.0,0.697,145100.0,1.0,Floating,0.0245,0.002,0.0025,5,Unsecured,0.48
RV00188,R366,Revolver,Working Capital Line,20831000.0,0.525,10926100.0,1.0,Floating,0.0244,0.002,0.005,6,Senior Secured,0.52
RV00189,R110,Revolver,ABL Revolver,698000.0,0.486,339500.0,3.0,Floating,0.0257,0.0025,0.001,7,Senior Secured,2.31
RV00190,R217,Revolver,Corporate RCF,935000.0,0.566,529000.0,1.0,Floating,0.0238,0.0025,0.0025,6,Unsecured,0.92
RV00191,R088,Revolver,ABL Revolver,502000.0,0.366,183800.0,1.0,Floating,0.0177,0.002,0.005,4,Senior Secured,0.92
RV00192,R319,Revolver,Corporate RCF,693000.0,0.203,140900.0,1.0,Floating,0.024,0.0035,0.001,7,Senior Secured,0.66
RV00193,R282,Revolver,Working Capital Line,639000.0,0.22,140500.0,3.0,Floating,0.0217,0.002,0.0025,4,Senior Secured,2.11
RV00194,R277,Revolver,ABL Revolver,879000.0,0.583,512200.0,5.0,Floating,0.0295,0.0025,0.001,7,Senior Secured,3.13
RV00195,R284,Revolver,ABL Revolver,870000.0,0.41,356500.0,3.0,Floating,0.0091,0.0015,0.005,1,Senior Secured,1.49
RV00196,R295,Revolver,Working Capital Line,1819000.0,0.269,489400.0,3.0,Floating,0.0165,0.0015,0.0025,3,Unsecured,2.37
