account_id,relationship_id,product,sub_type,deposit_type,balance,rate_paid,tenor_yrs
DP00182,R150,Deposit,Commercial CD,Time Deposit,699400.0,0.0398,1.0
DP00183,R213,Deposit,Analyzed DDA,Operating,592800.0,0.0032,0.0
DP00184,R270,Deposit,Money Market / Sweep,Non-Operating,278700.0,0.0332,0.0
DP00185,R492,Deposit,Analyzed DDA,Operating,1037600.0,0.0114,0.0
DP00186,R384,Deposit,Money Market / Sweep,Non-Operating,1777200.0,0.0359,0.0
DP00187,R404,Deposit,Analyzed DDA,Operating,135300.0,0.0103,0.0
DP00188,R442,Deposit,Analyzed DDA,Operating,2228200.0,0.0102,0.0
DP00189,R114,Deposit,Analyzed DDA,Operating,221800.0,0.0,0.0
DP00190,R015,Deposit,Commercial CD,Time Deposit,944100.0,0.0401,2.0
DP00191,R264,Deposit,Commercial CD,Time Deposit,7962300.0,0.035,1.0
DP00192,R288,Deposit,Analyzed DDA,Operating,98700.0,0.0097,0.0
DP00193,R306,Deposit,Money Market / Sweep,Non-Operating,801600.0,0.0353,0.0
DP00194,R312,Deposit,Analyzed DDA,Operating,353400.0,0.0045,0.0
DP00195,R389,Deposit,Analyzed DDA,Operating,756500.0,0.0076,0.0
DP00196,R186,Deposit,Analyzed DDA,Operating,260500.0,0.0038,0.0
DP00197,R228,Deposit,Money Market / Sweep,Non-Operating,121600.0,0.0233,0.0
DP00198,R324,Deposit,Analyzed DDA,Operating,227600.0,0.0032,0.0
DP00199,R216,Deposit,Analyzed DDA,Operating,2053000.0,0.0044,0.0
DP00200,R488,Deposit,Commercial CD,Time Deposit,1864300.0,0.0346,1.0
DP00201,R185,Deposit,Analyzed DDA,Operating,2176700.0,0.0013,0.0
DP00202,R246,Deposit,Analyzed DDA,Operating,6328300.0,0.0062,0.0
DP00203,R172,Deposit,Commercial CD,Time Deposit,885900.0,0.0365,2.0
DP00204,R207,Deposit,Money Market / Sweep,Non-Operating,272200.0,0.0358,0.0
DP00205,R454,Deposit,Analyzed DDA,Operating,2044900.0,0.0015,0.0
DP00206,R006,Deposit,Analyzed DDA,Operating,2770200.0,0.0005,0.0
DP00207,R065,Deposit,Money Market / Sweep,Non-Operating,1486100.0,0.0338,0.0
DP00208,R010,Deposit,Analyzed DDA,Operating,988400.0,0.0057,0.0
DP00209,R494,Deposit,Money Market / Sweep,Non-Operating,1146100.0,0.0271,0.0
DP00210,R442,Deposit,Analyzed DDA,Operating,1618800.0,0.0094,0.0
DP00211,R295,Deposit,Money Market / Sweep,Non-Operating,696800.0,0.0347,0.0
DP00212,R360,Deposit,Analyzed DDA,Operating,1204900.0,0.0026,0.0
DP00213,R081,Deposit,Analyzed DDA,Operating,758100.0,0.0113,0.0
DP00214,R150,Deposit,Money Market / Sweep,Non-Operating,210600.0,0.0342,0.0
DP00215,R004,Deposit,Analyzed DDA,Operating,5732400.0,0.0118,0.0
DP00216,R333,Deposit,Money Market / Sweep,Non-Operating,704700.0,0.0293,0.0
DP00217,R136,Deposit,Commercial CD,Time Deposit,653200.0,0.0372,2.0
DP00218,R392,Deposit,Money Market / Sweep,Non-Operating,1961800.0,0.0343,0.0
DP00219,R483,Deposit,Analyzed DDA,Operating,452100.0,0.0017,0.0
DP00220,R052,Deposit,Commercial CD,Time Deposit,641400.0,0.0363,1.0
DP00221,R212,Deposit,Analyzed DDA,Operating,912400.0,0.0053,0.0
DP00222,R006,Deposit,Analyzed DDA,Operating,3647000.0,0.0049,0.0
DP00223,R238,Deposit,Analyzed DDA,Operating,900700.0,0.007,0.0
DP00224,R095,Deposit,Money Market / Sweep,Non-Operating,3303300.0,0.0296,0.0
DP00225,R274,Deposit,Analyzed DDA,Operating,635700.0,0.0042,0.0
DP00226,R037,Deposit,Analyzed DDA,Operating,2278100.0,0.0042,0.0
DP00227,R001,Deposit,Analyzed DDA,Operating,7217500.0,0.0076,0.0
DP00228,R199,Deposit,Analyzed DDA,Operating,561100.0,0.0009,0.0
DP00229,R283,Deposit,Money Market / Sweep,Non-Operating,342800.0,0.0337,0.0
DP00230,R455,Deposit,Analyzed DDA,Operating,783000.0,0.01,0.0
DP00231,R473,Deposit,Money Market / Sweep,Non-Operating,442700.0,0.0257,0.0
DP00232,R068,Deposit,Analyzed DDA,Operating,783000.0,0.0094,0.0
DP00233,R006,Deposit,Commercial CD,Time Deposit,6836900.0,0.0335,0.5
DP00234,R006,Deposit,Analyzed DDA,Operating,4654500.0,0.0109,0.0
DP00235,R040,Deposit,Analyzed DDA,Operating,687900.0,0.0061,0.0
DP00236,R494,Deposit,Analyzed DDA,Operating,160300.0,0.0098,0.0
DP00237,R008,Deposit,Commercial CD,Time Deposit,2533300.0,0.0343,0.5
DP00238,R343,Deposit,Money Market / Sweep,Non-Operating,946100.0,0.0311,0.0
DP00239,R318,Deposit,Analyzed DDA,Operating,210200.0,0.0011,0.0
DP00240,R039,Deposit,Analyzed DDA,Operating,1671200.0,0.0003,0.0
DP00241,R163,Deposit,Analyzed DDA,Operating,1527800.0,0.0063,0.0
DP00242,R175,Deposit,Analyzed DDA,Operating,431600.0,0.0015,0.0
DP00243,R098,Deposit,Money Market / Sweep,Non-Operating,2860700.0,0.0291,0.0
DP00244,R262,Deposit,Analyzed DDA,Operating,607000.0,0.0097,0.0
DP00245,R008,Deposit,Analyzed DDA,Operating,1217100.0,0.0069,0.0
DP00246,R137,Deposit,Money Market / Sweep,Non-Operating,810400.0,0.0242,0.0
DP00247,R004,Deposit,Analyzed DDA,Operating,2427400.0,0.0098,0.0
DP00248,R488,Deposit,Analyzed DDA,Operating,123700.0,0.006,0.0
DP00249,R119,Deposit,Analyzed DDA,Operating,1016000.0,0.0123,0.0
DP00250,R383,Deposit,Commercial CD,Time Deposit,147800.0,0.0348,2.0
DP00251,R213,Deposit,Money Market / Sweep,Non-Operating,1017800.0,0.0316,0.0
DP00252,R373,Deposit,Money Market / Sweep,Non-Operating,648700.0,0.0308,0.0
DP00253,R300,Deposit,Money Market / Sweep,Non-Operating,449500.0,0.0265,0.0
DP00254,R416,Deposit,Analyzed DDA,Operating,259100.0,0.0012,0.0
DP00255,R065,Deposit,Analyzed DDA,Operating,179100.0,0.0058,0.0
DP00256,R220,Deposit,Analyzed DDA,Operating,226200.0,0.0071,0.0
DP00257,R060,Deposit,Analyzed DDA,Operating,164700.0,0.0101,0.0
DP00258,R269,Deposit,Money Market / Sweep,Non-Operating,1278600.0,0.0323,0.0
DP00259,R490,Deposit,Analyzed DDA,Operating,841100.0,0.003,0.0
DP00260,R245,Deposit,Analyzed DDA,Operating,365500.0,0.0034,0.0
DP00261,R462,Deposit,Analyzed DDA,Operating,362200.0,0.0085,0.0
DP00262,R393,Deposit,Money Market / Sweep,Non-Operating,254200.0,0.0353,0.0
DP00263,R051,Deposit,Money Market / Sweep,Non-Operating,632400.0,0.0226,0.0
DP00264,R181,Deposit,Money Market / Sweep,Non-Operating,694700.0,0.0245,0.0
DP00265,R004,Deposit,Analyzed DDA,Operating,15423500.0,0.003,0.0
DP00266,R403,Deposit,Commercial CD,Time Deposit,924500.0,0.0348,0.5
DP00267,R204,Deposit,Commercial CD,Time Deposit,162900.0,0.0387,0.5
DP00268,R108,Deposit,Money Market / Sweep,Non-Operating,55100.0,0.0326,0.0
DP00269,R455,Deposit,Money Market / Sweep,Non-Operating,317800.0,0.0297,0.0
DP00270,R261,Deposit,Analyzed DDA,Operating,292600.0,0.006,0.0
DP00271,R210,Deposit,Money Market / Sweep,Non-Operating,96900.0,0.0232,0.0
DP00272,R167,Deposit,Commercial CD,Time Deposit,261200.0,0.0364,0.5
DP00273,R246,Deposit,Analyzed DDA,Operating,1498600.0,0.0026,0.0
DP00274,R037,Deposit,Analyzed DDA,Operating,826200.0,0.0105,0.0
DP00275,R276,Deposit,Analyzed DDA,Operating,1917500.0,0.0007,0.0
DP00276,R282,Deposit,Commercial CD,Time Deposit,263200.0,0.0345,0.5
DP00277,R207,Deposit,Analyzed DDA,Operating,225800.0,0.0099,0.0
DP00278,R391,Deposit,Commercial CD,Time Deposit,8006700.0,0.0354,0.5
DP00279,R484,Deposit,Money Market / Sweep,Non-Operating,1403900.0,0.0267,0.0
DP00280,R004,Deposit,Analyzed DDA,Operating,4508400.0,0.0101,0.0
DP00281,R131,Deposit,Money Market / Sweep,Non-Operating,1125100.0,0.0269,0.0
DP00282,R127,Deposit,Analyzed DDA,Operating,3488000.0,0.0074,0.0
DP00283,R245,Deposit,Analyzed DDA,Operating,1006200.0,0.0033,0.0
DP00284,R419,Deposit,Analyzed DDA,Operating,1376600.0,0.008,0.0
DP00285,R301,Deposit,Money Market / Sweep,Non-Operating,308800.0,0.0351,0.0
DP00286,R095,Deposit,Analyzed DDA,Operating,4008900.0,0.0027,0.0
DP00287,R377,Deposit,Analyzed DDA,Operating,140800.0,0.0019,0.0
DP00288,R022,Deposit,Commercial CD,Time Deposit,355900.0,0.0367,1.0
DP00289,R141,Deposit,Analyzed DDA,Operating,604300.0,0.0118,0.0
DP00290,R247,Deposit,Commercial CD,Time Deposit,2081500.0,0.0378,0.5
DP00291,R103,Deposit,Analyzed DDA,Operating,624200.0,0.0061,0.0
DP00292,R004,Deposit,Money Market / Sweep,Non-Operating,775000.0,0.0346,0.0
DP00293,R465,Deposit,Analyzed DDA,Operating,766400.0,0.0102,0.0
DP00294,R448,Deposit,Analyzed DDA,Operating,1180100.0,0.0092,0.0
DP00295,R462,Deposit,Money Market / Sweep,Non-Operating,327200.0,0.0309,0.0
DP00296,R242,Deposit,Commercial CD,Time Deposit,2529600.0,0.0398,0.5
DP00297,R071,Deposit,Analyzed DDA,Operating,360800.0,0.0033,0.0
DP00298,R173,Deposit,Analyzed DDA,Operating,865300.0,0.0102,0.0
DP00299,R496,Deposit,Money Market / Sweep,Non-Operating,239800.0,0.0279,0.0
DP00300,R230,Deposit,Commercial CD,Time Deposit,163800.0,0.0387,1.0
DP00301,R357,Deposit,Money Market / Sweep,Non-Operating,1161200.0,0.0296,0.0
DP00302,R439,Deposit,Analyzed DDA,Operating,702500.0,0.0069,0.0
DP00303,R304,Deposit,Analyzed DDA,Operating,906800.0,0.002,0.0
DP00304,R427,Deposit,Commercial CD,Time Deposit,132800.0,0.0371,2.0
DP00305,R480,Deposit,Analyzed DDA,Operating,608400.0,0.0084,0.0
DP00306,R306,Deposit,Analyzed DDA,Operating,197700.0,0.0028,0.0
DP00307,R008,Deposit,Money Market / Sweep,Non-Operating,6492800.0,0.0355,0.0
DP00308,R005,Deposit,Analyzed DDA,Operating,3260900.0,0.0043,0.0
DP00309,R093,Deposit,Analyzed DDA,Operating,159300.0,0.0073,0.0
DP00310,R009,Deposit,Money Market / Sweep,Non-Operating,8235100.0,0.0347,0.0
DP00311,R035,Deposit,Commercial CD,Time Deposit,792900.0,0.0336,2.0
DP00312,R489,Deposit,Commercial CD,Time Deposit,679800.0,0.0353,0.5
DP00313,R294,Deposit,Analyzed DDA,Operating,1949400.0,0.0051,0.0
DP00314,R172,Deposit,Commercial CD,Time Deposit,617700.0,0.0344,0.5
DP00315,R260,Deposit,Money Market / Sweep,Non-Operating,5108200.0,0.0282,0.0
DP00316,R327,Deposit,Analyzed DDA,Operating,1311600.0,0.001,0.0
DP00317,R182,Deposit,Analyzed DDA,Operating,632300.0,0.0066,0.0
DP00318,R143,Deposit,Commercial CD,Time Deposit,709300.0,0.0377,0.5
DP00319,R442,Deposit,Analyzed DDA,Operating,188000.0,0.0023,0.0
DP00320,R010,Deposit,Analyzed DDA,Operating,26851400.0,0.0076,0.0
DP00321,R179,Deposit,Money Market / Sweep,Non-Operating,470800.0,0.0254,0.0
DP00322,R001,Deposit,Money Market / Sweep,Non-Operating,4167500.0,0.027,0.0
DP00323,R181,Deposit,Analyzed DDA,Operating,320200.0,0.0115,0.0
DP00324,R428,Deposit,Money Market / Sweep,Non-Operating,4582500.0,0.033,0.0
DP00325,R477,Deposit,Money Market / Sweep,Non-Operating,1593300.0,0.0248,0.0
DP00326,R002,Deposit,Money Market / Sweep,Non-Operating,4721900.0,0.0235,0.0
DP00327,R254,Deposit,Money Market / Sweep,Non-Operating,111700.0,0.0304,0.0
DP00328,R239,Deposit,Analyzed DDA,Operating,1231000.0,0.0081,0.0
DP00329,R003,Deposit,Commercial CD,Time Deposit,3777000.0,0.0387,1.0
DP00330,R497,Deposit,Money Market / Sweep,Non-Operating,923700.0,0.026,0.0
DP00331,R021,Deposit,Analyzed DDA,Operating,180900.0,0.0058,0.0
DP00332,R278,Deposit,Analyzed DDA,Operating,306700.0,0.0099,0.0
DP00333,R002,Deposit,Money Market / Sweep,Non-Operating,17550300.0,0.036,0.0
