relationship_id,name,industry,segment,rating,total_revenue,opex,expected_loss,el_lifetime,economic_capital,rwa,reg_capital,capital,net_income,eva,raroc,lending_raroc,lending_net_income,lending_capital,n_deposit,n_interest_rate_derivative,n_payments,n_revolver,n_term_loan,exp_deposit,exp_interest_rate_derivative,exp_payments,exp_revolver,exp_term_loan,ancillary_uplift,meets_hurdle
R327,Client 327,Professional Services,Middle Market,4,681022.6218357142,148010.574,29475.963399999997,78631.47255459939,1182760.6120997507,14487144.875840385,1521150.2119632403,1182760.6120997507,417294.9996811816,275363.7262292115,0.3528144202742424,0.13723030900262737,143905.42156909461,1048641.6784672507,3,0,2,3,1,18748600.0,0.0,20686.68,19272000.0,9124000.0,0.21558411127161506,True
R083,Client 083,Food Distribution,Middle Market,6,1021415.1158785715,219435.412,151830.03795,275821.18605013733,2436809.914187453,32279670.27991735,3389365.379391321,2436809.914187453,565414.8041948391,272997.61449234484,0.23203073859102175,0.12431733257053765,287259.6469248531,2310696.6742699533,4,0,1,7,3,16557200.0,0.0,23883.84,37808000.0,10919000.0,0.1077134060204841,True
R436,Client 436,Transportation & Logistics,Middle Market,3,803254.4594166668,323929.57,15079.590375,61810.2608999643,886702.4217668073,11281273.127092559,1184533.6783447186,886702.4217668073,378771.3401325635,272367.04952054657,0.42716849625586795,0.13537749764360482,103595.8821017932,765237.0881793074,4,0,3,7,1,10129400.0,0.0,292205.4,35654000.0,5163000.0,0.2917909986122631,True
R193,Client 193,Food Distribution,Middle Market,7,1152690.5479166666,166922.08,314886.36299999995,685080.2850729314,2759248.450354686,37425971.190631695,3929726.9750163276,2759248.450354686,590606.0093940448,259496.19535148243,0.21404596940812837,0.17515157710658355,475141.84732404846,2712746.6116671865,2,0,2,2,2,5633500.0,0.0,2160.6000000000004,6242000.0,30097000.0,0.03889439230154482,True
R087,Client 087,Technology,Middle Market,5,709525.3719166666,208695.262,33284.48045,39321.379694245916,1077332.2661227938,13884168.07214194,1457837.647574904,1077332.2661227938,386857.4205014195,257577.5485666844,0.3590883079123574,0.2213140420377713,220553.66825686736,996564.2768352937,3,0,3,4,3,9207400.0,0.0,114234.84,23546000.0,11032000.0,0.1377742658745861,True
R474,Client 474,Food Distribution,Middle Market,5,802244.3740833332,190084.86000000002,69499.99350000001,114823.40939607867,1716309.914099522,23144039.081940193,2430124.1036037207,1716309.914099522,462640.4637298853,256683.2740379427,0.26955531744545913,0.2298202544071134,387126.1422131835,1684473.560487022,2,0,3,4,2,3619300.0,0.0,21916.2,39069000.0,7969000.0,0.03973506303834573,True
R375,Client 375,Healthcare,Middle Market,5,438954.2651142857,47899.818,9610.0188,26273.808610360662,411413.64797003864,4604724.5668644905,483496.0795207714,411413.64797003864,301935.7288584605,252566.09110205586,0.7338981833690872,0.22380878989666508,70343.30522491387,314300.90506003867,4,0,4,0,2,12014500.0,0.0,14453.76,0.0,4873000.0,0.5100893934724221,True
R458,Client 458,Education,Middle Market,4,680557.4824999999,156750.3,32502.73175,86408.14109367346,1350745.2218335373,17679276.66739861,1856324.050076854,1350745.2218335373,412914.18776084937,250824.76114082488,0.30569361348570884,0.23666221864875395,309253.95838623185,1306731.4257085375,2,0,0,3,3,5635200.0,0.0,0.0,13221000.0,22672000.0,0.06903139483695489,True
R103,Client 103,Wholesale Trade,Middle Market,6,1368922.6371190473,310365.82999999996,244424.55675000002,650765.3147804925,4060530.183077268,52978429.987758525,5562735.148714646,4060530.183077268,737551.6234373171,250288.00146804494,0.18163924172048992,0.17808497300026652,698794.1886863882,3923936.8539272677,5,0,5,7,5,28248800.0,0.0,27666.6,28780000.0,33788000.0,0.003554268720223408,True
R090,Client 090,Professional Services,Middle Market,7,782541.33975,125259.19,125689.78650000002,155263.34958197217,1699975.1539157769,21388514.6882838,2245794.042269799,1699975.1539157769,453751.46907357563,249754.4506036825,0.266916529943623,0.15540396226923436,247643.1461287129,1593544.6079532767,8,0,2,3,3,15598100.0,0.0,5572.800000000001,9185000.0,14811000.0,0.11151256767438866,True
R200,Client 200,Technology,Middle Market,3,504258.92358333344,96370.78000000001,11602.25775,18376.93082399288,593691.3789212027,6975244.868354305,732400.7111772019,593691.3789212027,318548.68298056774,247305.71751002345,0.5365560193233779,0.2693672811670587,132355.54648237547,491357.1756337028,3,0,4,3,2,15509500.0,0.0,7794.6,13031000.0,5158000.0,0.2671887381563192,True
R391,Client 391,Industrial Manufacturing,Middle Market,5,719654.6770023808,260991.166,31301.338099999997,60415.62140737158,858179.4486713767,10771475.605037615,1131004.9385289494,858179.4486713767,349905.582073934,246924.04823336884,0.40773008793866333,0.21918627167794863,164121.17674219055,748774.8912638768,2,0,4,3,2,11202000.0,0.0,312792.12,10625000.0,7770000.0,0.1885438162607147,True
R227,Client 227,Industrial Manufacturing,Middle Market,4,704301.0876309522,217567.97999999998,28317.1215,67580.21524721358,1132913.18925233,15328882.683003763,1609532.681715395,1132913.18925233,381545.18937704695,245595.60666676736,0.33678237043815246,0.30680216648803016,342290.8177012747,1115672.75296483,1,0,3,5,3,288700.0,0.0,100572.6,17577000.0,22289000.0,0.029980203950122297,True
R484,Client 484,Food Distribution,Middle Market,6,810920.93825,321074.96,57392.97975,90627.05761382956,933862.0607485664,11788103.254113838,1237750.841681953,933862.0607485664,355989.082757503,243925.63546767508,0.3812009264753178,0.14421903423555066,117749.67418427429,816464.1706860664,5,0,4,4,1,7650700.0,0.0,461866.2,11986000.0,3027000.0,0.23698189223976712,True
R392,Client 392,Education,Middle Market,7,966727.1136999999,265506.61199999996,161247.09294999996,187489.70101039181,1866371.1333710328,24696705.919356983,2593154.1215324835,1866371.1333710328,464989.8100124364,241025.27400791246,0.24914112830955198,0.20474762234331523,372138.1217891621,1817545.5105660327,2,0,5,4,2,2138000.0,0.0,261243.84,13905000.0,15544000.0,0.04439350596623676,True
R406,Client 406,Wholesale Trade,Business Banking,6,574918.309,133474.52,36880.215749999996,65131.68289320584,734769.9481958346,9100090.388417425,955509.4907838295,734769.9481958346,328967.68435421016,240795.29057071,0.44771521366920686,0.3353315292654773,221621.3433404661,660902.1937958347,5,0,8,2,1,10130700.0,0.0,122315.40000000001,2005000.0,9775000.0,0.11238368440372953,True
R278,Client 278,Commercial Real Estate,Middle Market,3,751342.2267428573,271762.396,16834.69635,155838.5435532431,1254079.866727054,16206993.367362868,1701734.3035731008,1254079.866727054,388380.6790390051,237891.09503175854,0.30969373589627586,0.25120764762715303,306075.01143744064,1218414.3847870538,2,0,7,4,2,751200.0,0.0,197634.72,15647000.0,23816000.0,0.05848608826912283,True
R320,Client 320,Healthcare,Middle Market,3,527949.1819999999,115567.94,16664.55225,22719.30854597738,707185.4258396816,8898446.018798383,934336.8319738302,707185.4258396816,321436.9297700691,236574.6786693073,0.4545299125592254,0.3405792751732372,226547.08967832106,665181.6660396815,2,0,6,6,3,5304800.0,0.0,13276.800000000001,13789000.0,11566000.0,0.11395063738598821,True
R130,Client 130,Healthcare,Middle Market,6,444306.03275,56743.322,26518.052699999997,34426.95114789776,448223.70166348165,5261990.7961120065,552509.0335917608,448223.70166348165,287508.9656286735,233722.1214290557,0.6414407907516906,0.25840653734178665,91088.42043776873,352500.44900098164,4,0,2,1,1,13294500.0,0.0,16091.039999999999,2338000.0,4393000.0,0.38303425340990394,True
R050,Client 050,Retail,Middle Market,5,615527.8593333332,145666.51,48678.626625,110731.4277286629,1006871.6291456101,12853559.588924244,1349623.7568370458,1006871.6291456101,349559.93312713393,228735.33762966073,0.3471742802245368,0.23208447524068518,213369.37230510492,919360.8149956105,5,0,4,4,2,13253200.0,0.0,61762.200000000004,15026000.0,8717000.0,0.1150898049838516,True
R071,Client 071,Education,Business Banking,5,445239.13600000006,95436.154,8500.106399999999,16665.83744239518,339196.4740907477,3552693.362713309,373032.80308489734,339196.4740907477,269315.07428789535,228611.4973970056,0.7939795807424682,0.13797572476166747,29993.111713546277,217379.62794074765,6,0,4,3,2,16003900.0,0.0,92123.28,3299000.0,2048000.0,0.6560038559808008,True
R292,Client 292,Food Distribution,Business Banking,8,447892.28674999997,56355.90000000001,38525.774999999994,35111.32693669258,452438.7024630586,5042021.611214935,529412.269177568,452438.7024630586,281526.42136406904,227233.77706850204,0.622242128782198,0.10215203890375121,35370.90237840834,346257.4292005586,5,0,3,3,0,13068200.0,0.0,36012.0,4842000.0,0.0,0.5200900898784467,True
R495,Client 495,Food Distribution,Middle Market,5,595156.1734666667,150806.04200000002,39798.77595,48421.45790482758,994616.6504533179,13136094.175993303,1379289.8884792973,994616.6504533179,336561.5133849308,217207.51533053262,0.3383831481521405,0.33784727311547275,326002.8972061056,964941.6264333178,2,0,4,4,2,5909500.0,0.0,33571.44,10213000.0,19496000.0,0.0005358750366677434,True
R294,Client 294,Food Distribution,Middle Market,6,646675.25025,135230.8,70052.34375,118844.32854615556,1331120.625766716,16979689.503600895,1782867.3978780936,1331120.625766716,374406.5904499341,214672.11535792824,0.28127172188792327,0.18258458992508778,230784.14687785687,1263984.802729216,4,0,1,4,2,7878200.0,0.0,70770.0,14249000.0,7693000.0,0.09868713196283549,True
R073,Client 073,Commercial Real Estate,Middle Market,6,884928.2885809524,193492.376,114545.73159999998,657067.1384816768,2525390.017687707,33766549.805001035,3545487.7295251084,2525390.017687707,512329.4494630662,209282.64734054133,0.202871416246495,0.19782026307223502,497475.1852712394,2514783.761507707,1,0,6,3,8,1715000.0,0.0,5884.32,13957000.0,30852000.0,0.00505115317425997,True
R124,Client 124,Food Distribution,Middle Market,5,393294.47699999996,52818.350000000006,12704.5125,36568.81293025942,478887.6975303751,5893000.01498874,618765.0015738178,478887.6975303751,263118.6810497388,205652.1573460938,0.5494371277580159,0.21180805363848143,84818.39563683627,400449.34165537514,2,0,0,1,2,10185900.0,0.0,0.0,1084000.0,7499000.0,0.33762907411953447,True
R127,Client 127,Industrial Manufacturing,Middle Market,3,520163.0603,180672.97799999997,8176.15605,28660.536176865367,526983.5269322235,6696749.336477576,703158.6803301455,526983.5269322235,267218.12194803683,203980.09871617003,0.5070711099901314,0.2175769253404595,99747.20559944016,458445.6988872233,3,0,5,3,2,4857800.0,0.0,184455.96,10257000.0,8008000.0,0.2894941846496719,True
R288,Client 288,Construction,Business Banking,4,342320.0625,38349.72,4649.1044999999995,17569.056251432365,264146.1443869825,2789643.975470496,292912.6174244021,264146.1443869825,235213.05706476312,203515.51973832524,0.8904656080089078,0.11382223907806863,20733.909182065614,182160.44026198253,6,0,4,3,0,9317000.0,0.0,9170.4,5523000.0,0.0,0.7766433689308392,True
R217,Client 217,Construction,Business Banking,7,469216.68486904766,64341.11,45119.076,151235.3181466103,797601.8703708702,10293892.48357535,1080858.710775412,797601.8703708702,296752.7698675279,201040.54542302343,0.37205626126421104,0.19398095715176455,143118.47116755412,737796.4995583703,5,0,5,5,3,6978200.0,0.0,3484.2000000000003,4486000.0,8057000.0,0.1780753041124465,True
R460,Client 460,Technology,Middle Market,7,584056.6620523811,134788.952,58107.9232,176177.32781534985,1105275.6786267033,14550350.053719565,1527786.755640554,1105275.6786267033,329621.80436442693,196988.72292922257,0.2982258731812316,0.1684234552575824,174193.85836817397,1034261.2797117032,5,0,4,2,3,7512600.0,0.0,108194.64,4702000.0,10568000.0,0.12980241792364922,True
R407,Client 407,Industrial Manufacturing,Business Banking,7,423113.1321500001,69837.664,36025.131149999994,75245.74967431909,489453.3685663542,6049515.887042845,635199.1681394986,489453.3685663542,255431.66168425154,196697.25745628905,0.5218712917073798,0.09986802069592593,40671.570406260165,407253.19399385416,5,0,5,6,1,8465800.0,0.0,54294.48,5339000.0,1909000.0,0.42200327101145385,True
R330,Client 330,Construction,Middle Market,6,581432.1714523811,103273.8,79324.7175,242392.31946285375,1179988.2932280835,15342359.935174018,1610947.7931932716,1179988.2932280835,337640.03446366324,196041.4392762932,0.28613846120454667,0.181688780273116,205230.48767105374,1129571.6079030838,2,0,4,3,3,5034600.0,0.0,39678.0,5697000.0,11991000.0,0.10444968093143067,True
R361,Client 361,Energy,Business Banking,4,579320.72675,267281.49000000005,11752.569750000002,32580.11166682315,359377.1596699996,4387016.935632677,460636.77824143105,359377.1596699996,238733.24261194415,195607.9834515442,0.6642972047282094,0.22003509814252575,61209.31357795844,278179.77265749965,4,0,8,12,1,2885800.0,0.0,413647.8,9162000.0,751000.0,0.44426210658568366,True
R037,Client 037,Commercial Real Estate,Middle Market,4,352059.4423333333,49824.450000000004,7942.057125,27106.486538078243,310654.5226132865,3603726.0260752286,378391.23273789894,310654.5226132865,232752.38208999808,195473.83937640372,0.7492322343548699,0.20078489740850713,48009.6401787721,239109.8175132865,6,0,0,4,0,8401300.0,0.0,0.0,10635000.0,0.0,0.5484473369463627,True
R389,Client 389,Commercial Real Estate,Business Banking,5,336832.13341666677,35717.182,8174.4718250000005,51296.116123616535,336514.47394841164,3833277.69403587,402494.15787376626,336514.47394841164,232481.1779973972,192099.4411235878,0.6908504566523848,0.2103976435669743,54601.19372792744,259514.28353591164,6,0,2,3,1,9955500.0,0.0,1026.24,2546000.0,2513000.0,0.48045281308541044,True
R070,Client 070,Professional Services,Middle Market,7,625323.6436214286,119873.386,97218.8776,174476.03824197542,1317134.905752637,17242727.414878465,1810486.3785622385,1317134.905752637,348795.21615860786,190739.0274682914,0.2648135848767134,0.1600312941461626,200228.79961425843,1251185.2802451372,2,0,3,1,1,7704300.0,0.0,53543.520000000004,7766000.0,11486000.0,0.10478229073055081,True
R041,Client 041,Food Distribution,Middle Market,5,644468.0574523809,153347.44,56063.597750000015,94077.60586934767,1543503.9988660486,19919760.5725658,2091574.8601194092,1543503.9988660486,375806.2619806301,190585.78211670427,0.2434760533543937,0.20933915656100324,318294.7063487266,1520473.8166410485,2,0,1,3,2,2581000.0,0.0,10900.8,12998000.0,21775000.0,0.034136896793390464,True
R225,Client 225,Professional Services,Business Banking,6,332398.5515,38744.520000000004,12042.233250000001,12605.0936231123,272161.73578030063,3069525.3193903686,322300.15853598865,272161.73578030063,221988.41905893164,189329.01076529553,0.8156488950310384,0.16726565269858462,32919.5460080681,196809.95755530067,8,0,7,3,2,8828800.0,0.0,14042.4,3867000.0,943000.0,0.6483832423324538,True
R026,Client 026,Construction,Middle Market,4,484104.7766666667,164128.28,15519.136750000001,33053.756921133914,464539.2035808384,5645018.519514719,592726.9445490454,464539.2035808384,244980.010633442,189235.3062037414,0.5273613265469229,0.2296465986289347,91490.91188327198,398398.7240808384,2,0,3,3,2,4867200.0,0.0,188163.6,9217000.0,4684000.0,0.29771472791798825,True
